question,context
how do archaeologists speak to the general public?,"moreover, archaeologists are not yet helpful in site presentation, since their training rarely encourages them to speak to the general public"
what can a good interpretation convert visitors into?,"nevertheless, good interpretation enables visitors to understand archaeology and can convert them from puzzled tourists into advocates for archaeological research and conservation"
What must be viewed and accepted as obligations to the visitornot only as a means of,interpretation and presentation must be viewed and accepted as obligations to the visitornot only as means of attracting more tourists
How many years has it been since 10 de la torre and mac lean archaeological heritage been,"10 de la torre and mac lean archaeological heritage as an economic resource in recent years, some countries around the mediterranean have begun to use funds derived from tourism for the study, conservation, and presentation of heritage sites"
Where are the interpretation experiments being done?,"while some interesting (albeit controversial) interpretation experiments are being undertaken in the mediterranean (see sivan, herein), far more attention could usefully be spent in this area"
the dissemination of the results of what would be an important contribution to everyone in the field?,"costeffective approaches, innovative methods, and planning techniques are being tested and evaluated; the dissemination of the results of such experiments would be an important contribution to everyone in the field"
 guides to siteparticularly at the larger sites are what?,guidebooks available on siteparticularly at the larger sitesare useful
well informed guides are often excellent diplomats who represent what?,"wellinformed guides are often excellent diplomats who represent the site, the importance of protecting it, the discipline of archaeology itself, and the host country"
 interpreted panels in strategic areas can guide visitors toward areas safe for what?,interpretive panels in strategic areas can guide visitors toward areas safe for walking and away from fragile areas
 restoration of a feature of a site can help visitors do what?,"in some cases, restoration of a feature of a site can help visitors visualize the original nature, scale, beauty, or arrangement of a place"
what conventions are there to guide the work of archaeological restoration?,there are international conventions designed to guide the work of archaeological restoration (see appendix a)
What is an important educational tool?,"when implemented appropriately and explained effectively to the visitor, restoration can be an important educational tool (see schmidt, herein)"
"for most cases, reconstruction is not what?","for the majority of cases, however, reconstruction is not appropriate; instead, models or drawings can show the site in its original configuration and in relation to other such places regionally"
is reconstruction the same as reconstruction?,"in contrast to reconstruction, such models can also be easily changed to reflect recent research findings"
"visitors can benefit from exposure to books, guides, panels, or models that create a","visitors can benefit from exposure to books, guides, panels, or models that create a context for their experience at the site; inform them about its features, history, and significance; and advise them about what to expect on the tour"
what does a good interpretation not only enhance but also have many other salutary effects on,good interpretation not only enhances the educational value of the site but also has many other salutary effects on visitors
For how do informed visitors avoid damaging a site?,"informed visitors are far more likely to avoid damaging a site, for they can quickly develop a protective attitude about a place that means something to them"
What aspects of excavation must start during the initial phases of excavation?,"good interpretation, however, requires thought and planning, which must start during the initial phases of excavation"
How have both natural and cultural sites changed over time?,"both natural and cultural sites have become important economic resources in many parts of the world, and their economic potential is almost always realized through tourism"
What is an example of a resource that imperils archaeological sites?,"while the degradation of both natural and cultural resources in the presence of large numbers of visitors is inevitable when the situation is unmanaged, there is a stronger awareness of the dangers that affect the natural habitat than of those that imperil archaeological sites"
"the conservation of the values of natural sites such as beaches, forests, and landscapes is known","the conservation of the values of such natural sites as beaches, forests, and landscapes is known to be closely tied to their longterm economic value"
which coast of mediterranean coast has more overbuilt beach resorts?,"there are many examples on the mediterranean coast of dirty, overcrowded, overbuilt beach resorts that now attract fewer tourists or attract a less desirable class of tourism that brings fewer economic benefits"
the erosion of the integrity of these natural sites has eroded what?,the erosion of the integrity of these natural sites has eroded their commercial value as well
the archaeological heritage in the mediterranean region 11 does not seem to be recognized in the case,"the archaeological heritage in the mediterranean region 11 this phenomenon does not seem to be recognized in the case of archaeological sites, howeverperhaps because of critical differences in visitors' perception of value"
What do many visitors prefer a beach with?,"while everyone prefers a beach with uncluttered space, clean sand, and clear water, many visitors appear not to mind a crowded, unmaintained, or erroneously reconstructed archaeological site"
Many overcrowded sites that provide tourists with a visit of less than optimal quality seem to attract,"in fact, many overcrowded sites that provide tourists with a visit of less than optimal quality seem to attract larger numbers of visitors every year"
"when a site attracts a large amount of tourists, it becomes a mustsee for all tour","it appears that if a site attracts large crowds, it becomes a mustsee for all tour organizers, who promote an even greater influx of tourists"
How many sites remain almost deserted?,"while one site receives visitors by busloads, other nearby sites remain almost deserted"
"How many visitors does priene, miletus, and dydima receive each year","vivid examples of this type of disparity are found throughout the mediterranean region, as on the western coast of turkey, where ephesus receives over a million and a half visitors every year while priene, miletus, and dydima are visited by only a fraction of this number"
the lack of communication between the tourism industry and the cultural sector seems to be the cause of,lack of communication between the tourism industry and the cultural sector seems to be the cause of many of these imbalances
What does the disjunction often create?,"yet an even more serious problem is that in many countries, the national agencies in charge of tourism development and those responsible for the cultural heritage pursue their objectives entirely independently; this disjunction often creates serious conflicts whose results are evident worldwide"
have cultural heritage professionals started to advocate a more thoughtful approach to archaeological resource management?,cultural heritage professionals have started to advocate a more coordinated and thoughtful approach to archaeological resource management
it is now understood that sites have a maximum carrying capacity that cannot be exceeded without serious consequences,it is now recognized that sites have a maximum carrying capacity that cannot be exceeded without serious consequences
the consequences have an impact on the site itself but can also affect visitors as well as what,these consequences have an impact on the site itself but can also affect visitors
who has attempted to impose limitations on the number of people who can be in a site at,site managers have attempted to impose limitations on the number of people who can be in a site at a given timebut they have been unable to do so without immediately feeling the pressure of other interests
the use of ancient monuments for entertainment and social events brings what to local populations and authorities?,the use of ancient monuments for entertainment and social events brings additional income to local populations and authorities
What has lost the structural integrity required to provide safe accommodations to crowds?,"in many cases, however, ancient structures have lost the structural integrity required to provide safe accommodations to crowds"
can a monument be considered endangered?,"in such instances, not only is the monument endangered; the public is endangered as well"
What do tourists do when visiting archaeological sites?,"when visiting archaeological sites, tourists entrust their safety to tour operators, and cultural authorities make little effort to influence the potentially hazardous flow of visitors"
Why do some powerful groups value archaeological sites?,there is little doubt that some powerful groups who value archaeological sites do so mainly for their economic potential
a disturbing trend in recent decades has been what?,a disturbing trend in recent decades has been the high priority placed on economic value while all other values are ignored
Many studies have been done in the areas of site management and what else?,"very few studies have been done in the areas of site management and the economics of conservationwhether on the subject of the relationship of visitors and deterioration, the impact of a deteriorated site on visitor interest, or the appropriate allocation of national budgets to various archaeological sites"
"what is the ""goose that lays the golden egg""?","nevertheless, there is an increased awareness of the need to conserve the ""goose that lays the golden egg"
the awareness must be accompanied by research and study to understand the dynamics of what?,""" this awareness must be accompanied by research and study to further understanding of the dynamics of managing these irreplaceable resources"
is 12 de la torre and mac lean the same?,12 de la torre and mac lean balancing the interests of protection and visitation it is not universally recognized that archaeological sites have legitimate value to many groups and that the views of these constituents should be considered in decisions that affect the sites
Why do decisions continue to be made on behalf of certain groups?,this situation is evidenced by the fact that decisions continue to be made unilaterally based on the interest of particular groups
How are dams built?,"archaeologists continue to excavate without providing for the conservation of their discoveries or for the presentation and interpretation of the site to the public; national authorities decide to promote a site without consulting with the local population; tourism operators include sites in their tours without considering the impact of the larger number of visitors; dams are built without any study of their effect on the water table below the archaeological sites; hotels spring up around sites, and their water and waste disposal contaminates and decays the archaeological remains"
What is the length of the list?,"the list is long, and little seems to be learned from tragic examples"
What kind of planning process can be used to resolve all conflicts?,"while not all conflicts can be solved to everyone's satisfaction, much could be advanced by a coherent planning process involving broad consultation of concerned groups"
what is there no right formula for?,"as is well recognized in the field of management, there is no one right formula applicable to all situations"
How many variances are there in archaeological heritage?,"this is true also of the archaeological heritage, where there are many variances, from site to site and from country to country, in the values, administrative environment, threats to sites, condition of the remains, numbers of visitors, and available resources"
Is there a solution for each site?,"these differences do not mean that there are no solutions but, rather, that specific solutions must be found for each site"
What is the main objective of an archaeological site?,"for cultural heritage professionals, however, there can be only one objective in the management of an archaeological site, and that is to conserve its values"
who makes the determination of the values that take priority at a given site?,"this determination of the values that take priority at a given site must be made in consultation with all stakeholders, and it must reflect a longterm view of the site and its use"
many countries and international organizations have developed management approaches to what?,many countries and international organizations have developed management approaches to cultural heritage which vary in their effectiveness
What is another name for the icomos burra charter?,"one of the most successful models, employed in australia and embodied in the australian icomos burra charter, is presented in this volume (see sullivan and appendix a, herein)"
What is the first step in a successful cultural management?,successful cultural management starts with a planning process that results in a management plan to guide all major policy decisions as well as daytoday operations at a site
how to create a management plan,a management plan will not provide answers to every question that might emerge in the future
What is the purpose of the maintenancethat?,"rather, its usefulness lies in articulating policies for different areas of activitiessuch as excavation, conservation, visitor management, interpretation, and maintenancethat are in accordance with the significance of the site and with the values to be conserved"
what will provide the framework for decisions that must be made now and in the future?,"these policies will provide the framework for decisions that must be made, now and in the future, in each of these areas"
How is a management plan created?,"in addition, because the creation of a management plan relies on collaboration and communication among the various interest groups, its benefits are derived as much from the consultative process as from the resulting written document"
who should guide the implementation of the mediterranean archaeological heritage plan?,the archaeological heritage in the mediterranean region 13 questions that are much discussed during initial phases of the process proposed here are who should lead the design of the plan? and who should guide its implementation? these are two distinct procedures
What is the first step in a written management plan?,"the first is the process of bringing the stakeholders together, articulating the values they perceive in the site, describing the goals for the plan, and so on, through the several steps of eliciting and organizing information; the result is a written management plan"
the daytoday management of the site involves the making of decisions in accordance with what?,"the second process is the daytoday management of the site, which involves the making of decisions in accordance with the various strategies that are devised for visitor management, physical protection, condition monitoring, maintenance, and ongoing evaluation"
archaeologists with official permission to investigate a site have their primary interest in what?,archaeologists with official permission to investigate a site have as their primary interest the building of intellectual theories to explain the physical features that are revealed
Who is the most knowledgeable about a site's scientific significance?,"traditionally, while these experts are the most knowledgeable about a site's scientific significance, they might not know much at all about how to protect the sitefrom visitors or from simple exposureor how to tell the story of the site in terms accessible to the general public"
What do archaeologists see as a distraction and a liability?,"interestingly, archaeologists have also traditionally been impatient with the idea of welcoming the public into ""their"" sites, since they can often see the visitor as a distraction and a liability"
Who should be consulted in creating a plan?,"it seems reasonable, therefore, to consider the site archaeologist as an important member of the group involved in creating a plan, not as the only person who should be consulted"
the role of the site manager is to ensure that the implementation of the plan as developed by,"the role of the site manager is to ensure the implementation of the plan as developed by the larger group, including protection of the values identified by the stakeholders"
who takes the responsibility of operational decisions on a site?,the site manager assumes the responsibility of operational decisions that follow the policies set out for the site
"For certain aspects of operations, the site manager calls on other people with what skills?","for certain aspects of operations, the site manager calls on other individuals with specialized skills"
What is a major part of the day today implementation work?,"a site manager cannot work independently, and a major part of the daytoday implementation work is to maintain coordination with national and local authorities, as well as with other groups who have access to and use of the site"
What are some professional backgrounds that can be assumed to manage a site?,"experience in some parts of the world shows that the responsibilities of managing a site can be effectively assumed by individuals with various professional backgrounds, including archaeology, architecture, and conservation"
what qualifications are more important than having a background in a particular profession?,site managers should have an interest in managing as well as the necessary skills to do so. these qualifications are more important than having a background in a particular profession
Who will need to be trained in new skills?,"new managerial positions will need to be created, and, in almost all cases, these individuals will need to be trained in new skills"
"in the future, what skills will become part of the education of professionals?","in the future, such management skills will become part of the education of professionals likely to be responsible for heritage sites"
How were managers trained?,"until such a time, managers could be trained through specially designed short courses organized at the national or regional level"
What is a new approach to care of sites in the mediterranean region?,"site management, as defined and advocated in this volume, constitutes a new approach to the care of sites in the mediterranean region"
"if something is to be adopted successfully, what decision making process must be evaluated?","if it is to be adopted successfully, the decisionmaking process must be evaluated"
what is the minimum number of de la torre and mac lean management?,"successful implementation of this approach will require coordinated 14 de la torre and mac lean management at the level of the national authorities, as well as the education of the various groups with vested interests in the archaeological heritage"
Why is there little regional experience in managing sites?,"at this time, there seems to be little regional experience in managing sites for the purpose of their longterm protection"
Is there more or less information about the processes that were conserved?,"while it can be seen that some sites have been conserved with more success than others, there is almost no information about the processes that were followed or the decisions that were made"
What is an example of a successful application of welldesig ned?,"research and dissemination of cases that can be used as examples of the successful application of welldesig ned, longterm strategies would be highly useful to those interested in introducing new approaches to managing sites in the mediterranean region"
What type of management is new to many places and is often rejected as impracticable or,"open, negotiated management is new to many places and is often rejected a priori as impracticable or as ""not feasible"" in certain cultures"
the shift toward a simple process of systematic decision making is never a simple step.,the shift toward a participatory process of systematic decision making is never a simple step
do agencies have to relinquish authority to which they have been accustomed or entitled?,"in most cases, agencies or interest groups need to relinquish a degree of authority to which they have been accustomed or entitled"
How long have the administr ative structures for cultural heritage been in place?,"the mediterranean region has a long history of excavation and tourism at archaeological sites; in some cases, the administr ative structures for cultural heritage have been in place for generations and are resistant to change"
the implementation of inclusive management approaches can take place only if policy makers see potential advantages in a,the implementation of inclusive management approaches can take place only if policy makers see potential advantages in such a change and if resources are allocated to put them into place
How did the conference participants feel about making decisions that introduce radical change?,"while the conference participants recognized that it is difficult to make decisions that introduce radical change, they encouraged national authorities to adopt comprehensive approaches to site management to assure significant, longterm benefits for the conservation of the archaeological heritage of the mediterranean region"
the planning model for the management of archaeological sites sharon sullivan takes into consideration all,15 a planning model for the management of archaeological sites sharon sullivan the conservation of a cultural site can be achieved only through a comprehensive approach to management that takes into consideration all of the site's values
conservation decisions are most effective when they are based on what?,conservation decisions are most effective when they are based on the information gathered during a formal planning process designed to identify appropriate management practices and actions
what have cultural heritage professionals put forth to guide their work?,over the years cultural heritage professionals have put forth a number of conservation principles intended to guide their work
the principles and practices have taken the form of what?,these principles and practices have taken the form of international charters and recommendations (see appendix a)
the venice charter was adopted by the international council of monuments and sites in what year?,"the most famous of these is the venice charter, adopted by the international council of monuments and sites (lcomos) in 1965"
when did icomos adapt the venice charter to local conditions?,in 1988 australia icomos adapted the principles of the venice charter to local conditions and put them forth as the burra charter
the principles of the burra charter have been used to devise a planning method that has dramatically,"the principles of the burra charter have been used to devise a planning method that has dramatically improved the management of sites, as well as their ongoing conservation"
where has the china method been adapted for use?,this method has been adapted successfully for use in the united states and in china
the process of adaptation of the method is essential because it is suited to what?,"the process of adaptation of the method is essential, since management approaches must be suited to local conditions and traditions, including the social, economic, political, and physical environments"
"the planning method described in this article consists of a series of interrelated steps, undertaken in","the planning method described in this article consists of a series of interrelated steps, undertaken in a logical order and resulting in a management plan for the site"
what provides a structure for approaching a complex situation and for designing appropriate solutions intended to conserve the,it provides a structure for approaching a complex situation and for designing appropriate solutions intended to conserve the site's cultural significance
What is important to complete in order to lay the foundation for success in the management of a,"planning requires an investment of both time and resources, and it is important to complete the process in its logical order to lay the foundation for success in the management of the site"
the information presented here provides only the skeletal structure and guidelines for what?,the information presented here provides only the skeletal structure and guidelines for the process
"For a management plan to result in a useful management plan, they must be developed with information","for them to result in a useful management plan, they must be developed with information related to the site under consideration"
What is the main objective of a management plan?,"the principal objective of a management plan is to conserve the cultural significance of a site, not to meet the needs of tourists, 16 sullivan why a management plan? archaeologists, or developersalthough these concerns may also be addressed to varying degrees"
What determines a site's cultural significance?,"a site's cultural significance is determined by the values society perceives either in it or in elements of it. the value can be aesthetic, scientific, historic, or social, or a combination of these"
"what type of value can be aesthetic, scientific or historic?","the value can be aesthetic, scientific, historic, or social, or a combination of these. other valuesespecially financial and educationalare sometimes considered as well"
How long do financial and educational values exist?,"financial and educational values are very real, but derive essentially from aspects of cultural significance: they exist only as long as the cultural significance exists"
What are critical steps of the planning process?,"identifying all the values of a place, bringing together the individuals who can influence decisions that affect the site, and obtaining a clear understanding of the management realities are critical steps of the planning process"
the information obtained is essential for the design of what?,the information thus obtained is essential for the design of realistic and workable management strategies. it is often asked whether a formal planning process is really necessary
Most individuals working in the cultural field are committed to what?,"most individuals working in the cultural field are committed to the conservation of sites and recognize that they have cultural value, and many of these sites are already designated as important national or worldheritage resources"
does everyone want to see preserved?,"almost everyone, including the public, wishes to see the places preserved"
Why do managers object when asked to prepare a plan?,"why, then, is formal planning necessary? many managers object when asked to prepare such a plan, and they object even more when ""foreign"" experts are invited to do this work"
What do they believe is a waste of time and money?,"they believe that they know the site, its values, and its problems, and that going through a formal planning process is a waste of time and money. they have an important point"
What has been invested in planning exercises that are impractical and impractical?,"considerable resources and foreign expertise have been invested in planning exercises that result in plans that are technically impractical, that are impossibly costly, or that do not elicit enough political support to ensure implementation"
agers tend to feel the need to do what?,managers generally feel the need to press on with immediate solutions to what they see as urgent problems
unplanned approach leads to what kind of decisions?,"however, this unplanned approach leads to ad hoc decisions that can result in unanticipated, negative consequences in the short and long terms"
can a person make a bad decision without a plan?,decisions made without a plan can be counterproductive and often dangerous
What type of conflict can arise from a lack of understanding of the values of a company?,serious conflict can arise from a lack of understanding of certain values of a site or of the management dynamics at work there
who can influence the future of a site?,"other problems can arise from the exclusion from the planning process of a key discipline or area of expertise, or an important group or individual who can influence the future of a site"
What is disregarded when a site is excavated without any provision or plan for its conservation,"unnecessary damage can result when the logical sequence of management steps is disregarded, as in the case where a site is excavated without any provision or plan for its conservation and future management"
figure 1 presents the sequence of steps required to prepare a management plan.,figure 1 presents the sequence of steps required to prepare a management plan
the goal of plans is always to conserve the cultural significance of what?,the goal of such plans is always to protect and conserve the cultural significance of the sites through appropriate management decisions
the plan is intended to prevent or slow the deterioration of what?,"the plan is intended to put in place a range of protective actions that prevent or slow the deterioration of the site, whether that deterioration is physical or, rather, relates to the loss of other cultural values"
the planning model for the management of archaeological sites 17 identifying and involving key interest groups documenting the,figure 1 a planning model for the management of archaeological sites 17 identifying and involving key interest groups documenting the history of the site
what do you need to know about a placer?,all the people and institutions having an interest · survey in the site or having influence over its management · inventory ir · historical and archaeological record who are the key players and how will they be involved? · graphic archive what do we know about this placer
significance assessment management assessment (pg),. +significance assessment management assessment . establish values · document and assess physical condition
what do constraints and opportunities influence management of?,develop formal statement of significance · establish contraints and opportunities what values does this site haver what are the constraints and opportunities that will influence management of the siter i i y defining management policy
the management strategy for a business is based on what?,"statement of purpose, based on assessments why is the site going to be managed? � choosing management strategies . specific practices"
what is a practicer i t?,specific practices . operational procedures how will the management objectives be put into practicer i t ....• ... ..
"... maintenance conservation visitor other strategies strategies management strategies strategies y i implementation, monitoring, and reass","...• ... ... maintenance conservation visitor other strategies strategies management strategies strategies y i implementation, monitoring, and reassessment i the planning process"
Most cultures have a version of what story of the bad fairy?,"identifying and involving key interest groups we can borrow from folklore to make a crucial point. most cultures have a version of the story of the ""bad fairy"
"What is the european version of ""sleeping beauty""?",""" a european version is told in ""sleeping beauty,"" in which a king and queen long for a child and, finally, hoping against hope, have a beautiful daughter"
"What do the richest, bestdressed, and most influential fairies of the kingdom do","to celebrate her birth, they invite the richest, bestdressed, and most influential fairies of the kingdom, expecting that their guests will become the child's godmothers and bestow valuable gifts on the infant"
what are some of the characteristics of the fairies?,"these fairies are indeed generous, conferring upon the child beauty, goodness, wisdom, the ability to attract foreign currency, and so on. the princess's future looks very bright"
Who invites a powerful fairy to the celebrations?,"the princess's future looks very bright. whether deliberately or as an oversight, however, the king and queen do not invite one difficult but powerful fairy to the celebrations"
What is an example of a bad temper?,"she arrives anyway: late, badly dressed (spoiling the decor), and in a very bad temper, upsetting the carefully planned event"
Who does not bestow gifts on the princess?,"she does not bestow any gifts on the beautiful princess; instead, she puts a curse on her and causes endless trouble in the kingdom"
What happens to the princess after she falls asleep?,"eventually, as a 18 sullivan documenting the history of the site result, the princess falls asleep for one hundred years, and the kingdom falls into ruin"
the moral we can learn from this story is that any plans for the future of a cultural,the moral we can learn from this story is that any plans for the future of a cultural site will not work unless all the key players are involved in the conceptualization of the plan and feel that they participate in the ownership of the proposed outcomes
who are the key players of a site?,"the key players are those for whom the site has value, those who have important information about it, and those who can influence its management"
the constituents of a specific state will vary greatly from place to place and from country to country,these constituents will vary from place to place and from country to country
who is the only key player in a site?,"in most instances the managers of sitesbe they archaeologists, architects, or civil servantsregard themselves as the only key players"
What can a thorough analysis of interest groups identify?,"but a thorough analysis of interest groups can identify people from city governments, tourist authorities, local communities, and tour organizations, as well as foreign and local scholars and other experts such as conservators, who may have a crucial role to play in the development of effective management for a site"
"the first task of the planning process is to identify representatives of all the key interest groups,","the first task of the planning process is to identify representatives of all the key interest groups, bring them together, and hear their concerns"
what is an essential step in understanding the value of a place?,"this is an essential step, as well as an ongoing element, that will broaden understanding of the value of the place, as well as of opportunities and constraints"
can a step win new friends and supporters?,this step can also win new friends and supporters (some in unlikely places) for the conservation of the site
"when key players are involved with a plan's objectives, the likelihood of its successful implementation will","when the key players are involved, or at least satisfied, with the plan's objectives, the likelihood of its successful implementation will increase"
who is responsible for the long term management of the site?,"at the core of this group of key players is the person or group responsible for the overall, longterm management of the site"
who wrote the plan?,l this person or group also pulls together all of these elements and writes the plan
who is in charge of the planning process?,"it is the job of this individual or group to guide the planning processidentifying the key players, gathering them at crucial times, and establishing the statement of significance and the management strategies"
who is responsible for implementing the plan?,it will subsequently be the responsibility of the site manager to implement the plan
What is the first step in the planning process?,"concurrently with their identification of key players, those leading the planning process must identify, locate, and document all the background information about the site, such as its history, condition, research, and documentation"
"the task includes research into the site's history, interviews with local inhabitants, and the commission","this task can include research into the site's history, interviews with local inhabitants, and the commissioning of an overview of the site's archaeological history"
the regional and cultural contexts should also be defined as what?,the regional and cultural contexts should also be defined
it is important to know how it relates to other sites in the region and what role it,it is important to know not only the details about the site but also how it relates to other sites in the region and what role it plays in the region's history
Certain sites have an overwhelming quantity of what type of material?,certain sites have an overwhelming quantity of documentary and historical material
To highlight and put in context the key developments at the site,"in such instances, the information must be summarized and refined, to highlight and put in context the key developments at the site"
How can 19 significance assessment be used to reconstruct the intervention history?,"where there is information about the research and conservation work a planning model for the management of archaeological sites 19 significance assessment on the site, it can be used to reconstruct the intervention history and to explain the site's current condition and configuration"
the process of gathering this documentation will bring to light what in knowledge about a site?,the process of gathering this documentation will inevitably bring to light gaps in the knowledge about a siteand hence point the way to further necessary research
can the process reveal information about a site's history?,often the process can reveal surprising things about a site's history and condition
"the articles on piazza armerina, knossos, and ephesus","the articles on piazza armerina, knossos, and ephesus in this volume illustrate the sort of research that can so usefully inform this process"
the significance of a site is usually what?,"the significance of a site is usually multifaceted, and any management plan must consider all values and resolve potential conflicts between them"
What is a central element of a management plan?,an objective and clear statement of all the reasons a place is important is a central element of any management plan
it assists in the development of management strategies that will safeguard the full significance of the site,it assists in the development of management strategies that will safeguard the full significance of the site
what type of management is most important for very important sites?,"these statements are most crucial for very important sites, which tend to have the most interventionist management"
the values of many sites are believed to be what?,managers are often skeptical of the necessity of assessing significancesince the values of many sites are believed to be selfevident
agers or persons in charge feel they know what about an important what?,managers or persons in charge generally feel they know the values of an important site
What type of values doagers tend to focus on?,"managers, particularly those with academic backgrounds, tend to focus on the scientific, artistic, and historical values"
What can a close examination of a site bring to light other values of importance to different groups,"even so, a close examination of the complete significance of a site can bring to light other values of importance to different groups"
what are some of the categories used to describe the significance of a site?,"some of the categories used to describe the significance of a site are aesthetic, social, scientific, historic, or other special value"
how to refine a significance assessment?,"a significance assessment should involve a careful analysis of all these values. it can be useful to consider refining the definitions, as well as using subsets under principal values"
What is another term for educational value or value to a particular group of people?,"for instance, educational value, or value to a particular group of people, could be seen as subsets of social value"
"a place that demonstrates changes in technology, style, or use over time through accretions","a place that demonstrates changes in technology, style, or use over time through the accretions it has acquired may have historic as well as aesthetic value"
What may demonstrate the rich history of the site?,"and in such a case, the historical value may be in conflict to some extent with the aesthetic or architectural valuethat is, the accretions may demonstrate the rich history of the site, but the removal of those accretions may reveal more fully the original beauty of the design"
What may restore a site's original beauty but reduce its value for scientific or archaeological research?,"conversely, reconstruction of a ruin may reinstate the site's original beauty but diminish its value for scientific or archaeological research"
 wise management can achieve a balanced protection of what values?,"once recognized, the values of a site may sometimes be seen to conflict with one another. more often than not, however, wise management can achieve a balanced protection of the values"
How do you conserve resources?,"on the rare occasions when it seems necessary to sacrifice aspects of one value to conserve another, it is crucial first to explore thoroughly all the facets of the values and to consider a range of alternative management strategies"
how many sullivan management assessment detail do active conservationmanagers need to protect the values,"thus, significance assessment is essential because, even when a site is considered to be of unesco world heritage statusvery important, legally protected, and proposed for active conservationmanagers need 20 sullivan management assessment detail as to why it is significant in order to protect the values that make it so"
"As intervention increases, what is more likely to damage or destroy undetected or poorly understood aspects","in fact, the greater the level of physical intervention envisioned, the more detailed the assessment of significance or value should be, since the possibility of damaging or destroying undetected or poorly understood aspects of significance is much more likely as intervention increases"
how do you resolve a cultural conflict?,"even in sites that are recognized as having universal ""cultural"" value, there are conflicts that must be resolved through management decisions"
in the mediterranean region evidence of a conflict resides where?,"in the mediterranean region, evidence of a conflict resides in the use of the term archaeological to describe ancient sites"
How are these sites found?,"these sites have been found and/ or understood through archaeological exploration and research, and their value is revealed by the archaeologists who can interpret the results"
How is the cultural value of archaeological sites displayed?,"however, the actual value of such sites is not, in fact, archaeological; archaeology is simply the means whereby their scientific value and thus their cultural value have been manifested"
the cultural value of sitesinformational is the only what?,"there are broader cultural values that constitute the most important, overarching significance of these sitesinformational or research value is only one"
what is a source of pride for the peoples of the region?,"these include their social value as a source of pride to the peoples of the region, and their value as an educational tool for them and for other visitors"
what do they include as historical markers?,"they also include their value as historical markers, as well as their important symbolic significance"
what is it appropriate to call heritage sites rather than archaeological sites?,it might be more appropriate to call them heritage sites rather than archaeological sites and to manage them for the conservation of all these values
What can be in conflict with a site's social or public value?,archaeological or research value can sometimes be in conflict with the site's social or public value
opening a site to public visitation without archaeological investigation can compromise what?,"opening a site to public visitation indiscriminately or carrying out ""restoration"" for this purpose without archaeological investigation can certainly compromise the important scientific potential of the site"
"What is an example of an archaeological investigation for ""scientific"" reasons?","conversely, archaeological investigation for ""scientific"" reasons can expose fragile, beautiful, and historically important remains that are then subject to rapid deterioration"
