question,context
What is a promising approach?,"the precipitation of barium carbonate and barium sulfate by homogeneous solution precipitation methods is clearly a promising approach. to date, however, only experimental testing has been carried out and little is known concerning the longterm consolidating effectiveness of this approach"
Which precipitates do not have long term consolidating value?,"warnes [16] and marsh [50] have both suggested that crystalline inorganic precipitates, such as barium carbonate and sulfate, do not have long term consolidating value"
Which precipitates have a larger molecular volume than calcite?,"also the precipitates of barium carbonate and barium sulfate have a larger molecular volume than calcite and appear to exhibit anisotropic crystal growth [16, 50]. it should not be assumed that deteriorated stone will have sufficient empty volume to accommodate these precipitates"
What should be regarded as experimental materials which should not be applied to important historic structures?,"therefore, until more is known of the longterm effects of barium carbonate and barium sulfate on the durability of stone, they should be regarded as experimental materials which should not be applied to important historic structures"
How many stone conservators are there?,"alkoxysilanes are regarded by many stone conservators [8, 25, 59, 99, 109114] as being among the most promising stone consolidating materials for siliceous sandstones. the feasibility of using alkoxysilanes to consolidate calcareous stone is also being studied [115116]"
How many alkoxysilanes are highly regarded?,"the main reasons that alkoxysilanes are being highly regarded are their abilities to penetrate deeply into porous stone and the fact that their polymerization can be delayed until deep penetration has been achieved [25, 58, 99, 109, 110, 112]"
the use of alkoxysilanes for consolidating what is a recent development?,"in addition, they polymerize to produce materials similar to the binder in siliceous sandstone.the use of alkoxysilanes for consolidating stone is not a recent development. for example, laurie [117] received a patent in 1925 for producing such a material to be used for stone consolidation"
How many years after laurie received a patent was cogan and setterstrom published,"for example, laurie [117] received a patent in 1925 for producing such a material to be used for stone consolidation. other early researchers on the use of alkoxysilanes to consolidate stone are cogan and setterstrom [118119]. alkoxysilanes have been commonly used since around 1960 in germany [5]"
How many years have alkoxysilane consolidating material been used?,"alkoxysilanes have been commonly used since around 1960 in germany [5]. recently, a promising alkoxysilane consolidating material was developed at the uk building research establishment, called ""brethane"" [112]"
where was the promising alkoxysilane consolidating material developed?,"recently, a promising alkoxysilane consolidating material was developed at the uk building research establishment, called ""brethane"" [112].price [58] and weber [111] have observed that alkoxysilanes can penetrate porous stones to a depth of between 20 to 25 mm"
Which two companies have observed that alkoxysilanes can penetrate porous stones to a depth,price [58] and weber [111] have observed that alkoxysilanes can penetrate porous stones to a depth of between 20 to 25 mm. the newly developed brethane has been reported [112] to penetrate as deeply as 50 mm
How long does it take for the newly developed brethane to penetrate as deeply as 50,"the newly developed brethane has been reported [112] to penetrate as deeply as 50 mm. no noticeable polymerization occurs with brethane for at least 3 hours after it is mixed with a solvent and catalysis [58, 109]"
how long does it take for the polymerization of brethane to occur?,"no noticeable polymerization occurs with brethane for at least 3 hours after it is mixed with a solvent and catalysis [58, 109]. the large sizes of unpolymerized alkoxysilane molecules, no doubt, will prevent them from entering the smaller pores of a stone"
who reported that alkoxysilanes improved the resistance of sandstone to sodium sulfate,"the large sizes of unpolymerized alkoxysilane molecules, no doubt, will prevent them from entering the smaller pores of a stone.marschner reported [120] that alkoxysilanes improved the resistance of sandstone to sodium sulfate crystallization"
 alkoxysilanes improved the resistance of sandstone to what crystallization?,"marschner reported [120] that alkoxysilanes improved the resistance of sandstone to sodium sulfate crystallization. however, she also observed that their performance varied from sandstone to sandstone and also depended on the compatibility between the solvent and the specific stone being treated"
who studied the consolidation of marble?,similar findings were reported by moncrieff [115] who studied the consolidation of marble
a polymerized alkoxysilane appeared to fill the space between sandstone grains and,snethlage and klemm [121] observed in a scanning electron microscope analysis of impregnated sandstone that a polymerized alkoxysilane appeared to fill the space between sandstone grains and form a continuous coating
How many alkoxysilanes are reported to have little effect on moisture passage in stone,"however, polymerized alkoxysilanes are reported [25, 58,110, 115] to have little effect on moisture passage in stone and the frost resistance of stone. some slight changes in the color of treated stone have been observed [122, 123]"
Is the color of treated stone dull or dull?,"some slight changes in the color of treated stone have been observed [122, 123]. for example, statutes on the wells cathedral have become more dull grey following treatment with an alkoxysilane [123]"
Is the treated stone panel on the wells cathedral dull or orange?,"for example, statutes on the wells cathedral have become more dull grey following treatment with an alkoxysilane [123]. further, a treated stone panel on the cathedral has acquired a slightly more orange tone than adjacent untreated panels"
can a treated stone panel be treated with alkoxysilane?,"further, a treated stone panel on the cathedral has acquired a slightly more orange tone than adjacent untreated panels.once a section of stone is treated with alkoxysilane, it will probably weather differently than the untreated stone"
"If a stone is treated with alkoxysilane, will it probably weather differently or","once a section of stone is treated with alkoxysilane, it will probably weather differently than the untreated stone. thus, unless most of the visible parts of a structure are similarly treated, the contrast between the treated and untreated stone could become very noticeable"
How many percent of strength improvements have been reported when sandstone specimens were impregnated with,"strength improvements of around 20 percent have been reported [25, 110] when sandstone specimens were impregnated with alkoxysilanes. the ability of alkoxysilanes to consolidate deteriorated stone in the field, however, has not been unequivocally demonstrated"
The ability of alkoxysilanes to consolidate deteriorated stone in the field has not been,"the ability of alkoxysilanes to consolidate deteriorated stone in the field, however, has not been unequivocally demonstrated. further, it appears that the performance of alkoxysilanes varies from stone to stone"
what is a drawback of alkoxysilanes?,"further, it appears that the performance of alkoxysilanes varies from stone to stone.even if alkoxysilanes are found to be effective consolidants, their high cost [28, 112] will probably limit their use to statues and smallersized stone objects"
How many general types of synthetic organic polymer systems are there?,"synthetic organic polymer systems two general types of synthetic organic polymer systems are used to consolidate stone. in the first, monomeric organic molecules are first polymerized, dissolved in appropriate solvents, and then applied to stone"
"when are monomeric organic molecules first polymerized, dissolved in appropriate solvents,","in the first, monomeric organic molecules are first polymerized, dissolved in appropriate solvents, and then applied to stone. they are deposited within the voids and pores of the stone as the solvent evaporates"
How are monomeric organic molecules deposited?,"they are deposited within the voids and pores of the stone as the solvent evaporates. the second type are monomeric organic molecules, either pure or dissolved in a solvent, which are polymerized within the voids and pores of a stone"
How are monomeric organic molecules polymerized?,"the second type are monomeric organic molecules, either pure or dissolved in a solvent, which are polymerized within the voids and pores of a stone. viscous monomers are diluted with solvents so that deep penetration can be achieved [57]"
What are the most common organic solvents?,"solvents which evaporate rapidly (most common organic solvents), however, have been found to draw organic consolidants back to the surface of a stone, resulting in the formation of impervious hard surface crusts [57, 61]"
What has been used to consolidate stone?,munnikendam [59] has recommended that organic consolidants should be selected whose solidification does not depend on solvent evaporation.both thermoplastics and thermosets have been used to consolidate stone
is a thermoplastic the same as a thermoset?,both thermoplastics and thermosets have been used to consolidate stone. a thermoplastic is a material which can be reformed by the application of heat without significant changes in properties
What is a thermoplastic?,"a thermoplastic is a material which can be reformed by the application of heat without significant changes in properties. examples of thermoplastics are poly(vinylchloride), poly(ethylene), nylon, poly(styrene) and poly(methylmethacrylate)"
What are some examples of thermoplastics?,"examples of thermoplastics are poly(vinylchloride), poly(ethylene), nylon, poly(styrene) and poly(methylmethacrylate). a thermoset is a material which is formed into a permanent shape by the application of heat, and once formed, cannot be remelted or reformed"
Is polyurethane an example of a thermoset?,"a thermoset is a material which is formed into a permanent shape by the application of heat, and once formed, cannot be remelted or reformed. polyester, epoxy, and polyurethane are examples of thermosets"
How can methylmethacrylate be converted into a thermoset?,"polyester, epoxy, and polyurethane are examples of thermosets. methylmethacrylate can be converted into a thermoset by copolymerization with a three dimensional crosslinking material"
"the use of synthetic organic polymer systems to consolidate stone is a recent development, dating back to","methylmethacrylate can be converted into a thermoset by copolymerization with a three dimensional crosslinking material.the use of synthetic organic polymer systems to consolidate stone is a recent development, dating back to around the early 1960's"
How long has it been since synthetic organic polymer systems were used to consolidate stone?,"the use of synthetic organic polymer systems to consolidate stone is a recent development, dating back to around the early 1960's. therefore, little is known regarding the longterm performance of these materials"
What has been found to improve the mechanical properties of deteriorated stone?,"therefore, little is known regarding the longterm performance of these materials. some organic consolidants have been found to improve significantly the mechanical properties of deteriorated stone"
What has been found to improve the mechanical properties of deteriorated stone?,"some organic consolidants have been found to improve significantly the mechanical properties of deteriorated stone. many organic polymers are susceptible to degradation by oxygen and ultraviolet radiation, but this would only affect the materials on the surface of a treated stone [1]"
When didriederer report that the surfaces of some stone structures in germany had been,riederer reported [5] that the surfaces of some stone structures in germany which had been consolidated with organic polymers in 1965 had exhibited deep channel erosion by 1975
What was used to consolidate concrete and stone?,"apparently, water gradually eroded the consolidated surface and once the surface was pierced, erosion proceeded rapidly into the untreated stone.acrylic polymers methylmethacrylate and to a lesser extent butylmethacrylate have been used to consolidate concrete [64, 65] and stone [58]"
How can the monomers be applied solventfree to porous solids?,"acrylic polymers methylmethacrylate and to a lesser extent butylmethacrylate have been used to consolidate concrete [64, 65] and stone [58]. these monomers can be applied solventfree to porous solids and can be polymerized in situ"
How can monomers be applied solventfree to porous solids?,these monomers can be applied solventfree to porous solids and can be polymerized in situ. an excellent source for information on their polymerization as well as on polymerimpregnated concrete is the report by kukacha et al [64]
How is poly(methacrylate) polymerized?,"methylmethacrylate has been polymerized into poly(methylmethacrylate) by heating with an initiator, by gamma radiation, and at ambient temperature by combination of promoters and initiators [64, 124]"
What is the chemical initiator for thermal polymerization?,"for thermal polymerization, the chemical initiator (catalyst) azobis(isobutyronitrile) has been found to be effective [125]. heating blankets could be used to thermally polymerize methylmethacrylate or other monomerics applied to a stone structure"
Why is it difficult to polymerize monomerics by radiation?,heating blankets could be used to thermally polymerize methylmethacrylate or other monomerics applied to a stone structure. polymerization by radiation is only feasible if carried out in special chambers because of the radiation hazards
When do chemical promoters convert initiators into free radicals at ambient temperatures?,polymerization by radiation is only feasible if carried out in special chambers because of the radiation hazards. chemical promoters convert initiators into free radicals at ambient temperatures. then these free radicals induce the polymerization of methylmethacrylate
What was used to induce the polymerization of methylmethacrylate?,"then these free radicals induce the polymerization of methylmethacrylate. munnikendam [61] used n,ndimethylptoluidine to decompose benzoyl peroxide into free radicals. he found, however, that oxygen inhibited the subsequent polymerization reaction of methylmethacrylate"
what inhibited the subsequent polymerization reaction of methylmethacrylate?,"he found, however, that oxygen inhibited the subsequent polymerization reaction of methylmethacrylate. better success probably could be achieved by using azobis(isobutyronitrile) as the initiator [125]"
What has been shown to improve the properties of porous materials such as concrete?,"where deep or complete impregnation and complete polymerization was achieved, methylmethacrylate and other acrylates have been shown to improve substantially the mechanical properties and durability of porous materials such as concrete [64]"
how many concretes based on acrylics are classified as brittle materials based on their stress,"however, incomplete impregnation, with acrylates may result in the formation of a distinct interface between treated and untreated stone [120].polymerimpregnated concretes based on acrylics are classified as brittle materials based on their stressstrain curves [64, 125, 126]"
Is stone consolidated with methylmethacrylate expected to exhibit a similar or similar brittle,"polymerimpregnated concretes based on acrylics are classified as brittle materials based on their stressstrain curves [64, 125, 126]. stone consolidated with methylmethacrylate and other acrylics can be expected to exhibit a similar brittle behavior"
What can harden the surface of a stone and effectively consolidate it if both deep penetration and,"stone consolidated with methylmethacrylate and other acrylics can be expected to exhibit a similar brittle behavior.methylmethacrylate, no doubt, can harden the surface of a stone and effectively consolidate the stone if both deep penetration and complete polymerization are achieved"
Is untreated stone more or less likely to weather differently than untreated stone?,"similar to the case with alkoxysilanes, however, stone impregnated with methylmethacrylate will probably weather differently than untreated stone. in addition, erosion through the treated stone [5] could contribute to the development of an unsightly appearance"
How many monomers are in a polymer chain?,"in addition, erosion through the treated stone [5] could contribute to the development of an unsightly appearance.acrylic copolymers copolymers are produced by the joining of two or more different monomers in a polymer chain [127]"
How many monomers are in a polymer chain?,"acrylic copolymers copolymers are produced by the joining of two or more different monomers in a polymer chain [127]. a commercially available acrylic copolymer used for stone consolidation is copolymerized from ethylmethacrylate and methylacrylate [38, 121]"
Which acrylic copolymers are dissolved in organic solvents then applied to stone?,"other acrylic copolymers which have been studied for stone conservation include copolymers between acrylics and fluorocarbons [128, 129] and between acrylics and silicon esters [59, 121].the acrylic copolymers are dissolved in organic solvents then applied to stone"
 acrylic copolymers are dissolved in organic solvents then applied to what?,"the acrylic copolymers are dissolved in organic solvents then applied to stone. as discussed earlier, unless very dilute solutions are applied to a stone solvent evaporation will tend to draw the acrylic copolymers back to the surface"
what do viscosities do to stone?,"then, even if diluted to the lowest concentration that will give some consolidation, their solutions still may have viscosities which impede their penetration into stone"
Which vinyl polymers have been studied or used for conservation and consolidating of stone?,"vinyl polymers several vinyl polymers have been studied or used for conservation and consolidating of stone including poly(vinylchloride) [54, 130], chlorinatedpoly(vinylchloride) [130], and poly(vinylacetate) [38, 54, 130, 131]"
Which polymers are dissolved in organic solvents and then applied to stone?,"these polymers are dissolved in organic solvents and then applied to stone. photochemical processes could release chlorine from the chloride polymers, which could damage stone [130]. poly(vinylacetate) has been found to produce a glossy stone surface [130]"
What has been found to produce a glossy stone surface?,"poly(vinylacetate) has been found to produce a glossy stone surface [130]. if not carefully applied and if not sufficiently diluted, use of the vinyl polymers undoubtedly will result in the formation of impervious layers which entrap moisture and salts underneath [38]"
is an epoxy the same as a cure?,"epoxies the feasibility of using epoxies to consolidate stone is addressed by first briefly discussing their chemistry and then applications.an epoxy consists of an epoxy resin and a curing agent which is actually a polymerization agent. cure, i.e"
How is the cure initiated for an epoxy resin?,"an epoxy consists of an epoxy resin and a curing agent which is actually a polymerization agent. cure, i.e., polymerization, of an epoxy is initiated by mixing the epoxy resin with the curing agent. the epoxy resin is then converted into a hard thermosetting crosslinked polymer"
is bisphenylolpropane a liquids or a liquids?,"the epoxy resin is then converted into a hard thermosetting crosslinked polymer. the most commonly used epoxy resins are monomers of diphenylolpropane, called bisphenol a, and epichlorohydrin. resins produced from these reactants are liquids, but are too viscous to penetrate stone deeply"
How are epoxy resins often cured?,"resins produced from these reactants are liquids, but are too viscous to penetrate stone deeply. therefore, they are diluted with organic solvents. these epoxy resins are often cured using an amine curing agent"
how to cure epoxy resins?,"therefore, they are diluted with organic solvents. these epoxy resins are often cured using an amine curing agent. their cure time can be adjusted by selecting a slowly or rapidly reacting curing agent and by controlling the curing temperature"
How can the cure time be adjusted?,"their cure time can be adjusted by selecting a slowly or rapidly reacting curing agent and by controlling the curing temperature. the resulting crosslinked polymers have excellent adhesion to stone and concrete, and excellent chemical resistances"
What are the two sources for information on epoxies?,"the resulting crosslinked polymers have excellent adhesion to stone and concrete, and excellent chemical resistances. two recommended sources for information on epoxies, such as their chemistry, curing, and applications are reference nos. 132 and 133"
How did 132 and 133.gauri achieve deep penetration with viscous epoxy resins,132 and 133.gauri [134135] developed a method to achieve deep penetration with viscous epoxy resins and at the same time avoid the formation of a sharp interface between the consolidated and untreated stone
What is the first step in soaking in acetone?,"first, specimens are soaked in acetone, then in a dilute solution of epoxy resin in acetone, followed by soaking in increasingly concentrated solutions. this method is feasible for small stone objects such as tombstones and statues, but would be too time consuming and expensive for stone structures"
Is the method feasible for large stone objects such as tombstones or statues?,"this method is feasible for small stone objects such as tombstones and statues, but would be too time consuming and expensive for stone structures.less viscous epoxy resins are available including diepoxybutane diglycidyl ether and butanediol diglycidyl ether [58]"
Which type of epoxy resins are available?,less viscous epoxy resins are available including diepoxybutane diglycidyl ether and butanediol diglycidyl ether [58]. munnikendam [61] cured butanediol diglycidyl ether with alicyclic polyamines such as menthane diamine
How many polyamines were added to butanediol diglycidyl ether?,"munnikendam [61] cured butanediol diglycidyl ether with alicyclic polyamines such as menthane diamine. however, the viscosity was still too high and he diluted the mixture with tetraethoxysilane and tetramethoxysilane"
what was the result of the complex reaction?,"however, the viscosity was still too high and he diluted the mixture with tetraethoxysilane and tetramethoxysilane. a complex reaction took place involving the epoxy resin, curing agent and solvent to produce a tough, glassy material"
What was the result of the polyamine and carbon dioxide reaction?,"a complex reaction took place involving the epoxy resin, curing agent and solvent to produce a tough, glassy material. a white efflorescence also developed due to a reaction between the polyamine and carbon dioxide to form aminecarbonates [61, 137]"
How can the formation of aminecarbonates be avoided?,"a white efflorescence also developed due to a reaction between the polyamine and carbon dioxide to form aminecarbonates [61, 137]. formation of the aminecarbonates can be avoided by preventing carbon dioxide from coming in contact with the solution"
What was applied to calcareous stones?,"gauri [128, 136] observed that when low viscosity aliphatic epoxy resins were applied to calcareous stones, the reaction rates between the stones and carbon dioxide and sulfur dioxide were increased compared to the rates with untreated stones"
the epoxy polymer and bisphenol abased epoxy polymers were found to,"he suggested that the increased reactivity could be caused by absorption of the gases by the epoxy polymer or by the polymer acting as a semipermeable film to the gases. in contrast, bisphenol abased epoxy polymers were found to protect the stone from both carbon dioxide and sulfur dioxide"
How many times has the use of epoxies been suggested?,"the use of epoxies has been suggested for consolidating limestone [14, 128, 129], marble [134139], and sandstone [61, 121] as well as for readhering large stone fragments to mass stone [1]"
What is the name of the church in venice?,"moncrieff and hempel [138] found that certain epoxies could encapsulate salts in marble, thereby preventing them from recrystallizing. a large restoration project using epoxies for masonry consolidation is that of the santa maria maggiore church in venice [140]"
What type of building is the santa maria maggiore church in venice?,"a large restoration project using epoxies for masonry consolidation is that of the santa maria maggiore church in venice [140].similar to poly(methylmethacrylate), epoxies have produced brittle epoxyimpregnated concretes with high mechanical properties [65, 141,142]"
Many types of epoxies have a tendency to what?,"the longterm effect on incorporating a brittle material in stone is not known, but could render a structure vulnerable to seismic shock, vibrations and thermaldimensional effects.many types of epoxies have a tendency to chalk, i.e., to form a white powdery surface, when exposed to sunlight [132]"
Many types of epoxies have a tendency to what?,"many types of epoxies have a tendency to chalk, i.e., to form a white powdery surface, when exposed to sunlight [132]. therefore, epoxy should be removed from the surface of a treated stone before it cures"
What is the purpose of a masonry paste?,"mortar is a workable paste which hardens to bind building blocks such as stones, bricks, and concrete masonry units, to fill and seal the irregular gaps between them, spread the weight of them evenly, and sometimes to add decorative colors or patterns to masonry walls"
"Where does the word ""mortar"" come from?","in its broadest sense, mortar includes pitch, asphalt, and soft mud or clay, as those used between mud bricks, as well as cement mortar. the word ""mortar"" comes from old french mortier, ""builder's mortar, plaster; bowl for mixing."" (13c.)"
Why is mortar harder to repair than building blocks?,").[1]cement mortar becomes hard when it cures, resulting in a rigid aggregate structure; however, the mortar functions as a weaker component than the building blocks and serves as the sacrificial element in the masonry, because mortar is easier and less expensive to repair than the building blocks"
what is the most common binder since the early 20th century?,"bricklayers typically make mortars using a mixture of sand, a binder, and water. the most common binder since the early 20th century is portland cement, but the ancient binder lime mortar is still used in some specialty new construction"
What is used in the repair and repointing of historic buildings and structures?,"lime, lime mortar, and gypsum in the form of plaster of paris are used particularly in the repair and repointing of historic buildings and structures, so that the repair materials will be similar in performance and appearance to the original materials"
is opc mortar the same as regular portland cement?,"several types of cement mortars and additives exist.ordinary portland cement mortar, commonly known as opc mortar or just cement mortar, is created by mixing powdered ordinary portland cement, fine aggregate and water"
How many years after it was invented was lime mortar invented?,"it was invented in 1794 by joseph aspdin and patented on 18 december 1824, largely as a result of efforts to develop stronger mortars. it was made popular during the late nineteenth century, and had by 1930 became more popular than lime mortar as construction material"
is portland cement the same as lime mortar?,"it was made popular during the late nineteenth century, and had by 1930 became more popular than lime mortar as construction material. the advantages of portland cement is that it sets hard and quickly, allowing a faster pace of construction"
How many skilled workers are required to build a structure with portland cement?,"the advantages of portland cement is that it sets hard and quickly, allowing a faster pace of construction. furthermore, fewer skilled workers are required in building a structure with portland cement"
what type of cement should be used for the repointing of older buildings?,"as a general rule, however, portland cement should not be used for the repair or repointing of older buildings built in lime mortar, which require the flexibility, softness and breathability of lime if they are to function correctly"
How many standard types of mortar are there in the united states?,"[13][14]in the united states and other countries, five standard types of mortar (available as dry premixed products) are generally used for both new construction and repair. strengths of mortar change based on the mix ratio for each type of mortar, which are specified under the astm standards"
Which type of mortar is strongest?,"strengths of mortar change based on the mix ratio for each type of mortar, which are specified under the astm standards. these premixed mortar products are designated by one of the five letters, m, s, n, o, and k. type m mortar is the strongest, and type k the weakest"
Which type of cement mortars is the strongest?,"type m mortar is the strongest, and type k the weakest.polymer cement mortars (pcm) are the materials which are made by partially replacing the cement hydrate binders of conventional cement mortar with polymers"
What are some common types of polymeric admixtures?,"the polymeric admixtures include latexes or emulsions, redispersible polymer powders, watersoluble polymers, liquid thermoset resins and monomers.[16] although they increase cost of mortars when used as an additive, they enhance properties"
What type of brick is polymer mortar mainly designed for?,"[16] although they increase cost of mortars when used as an additive, they enhance properties. polymer mortar has low permeability that may be detrimental to moisture accumulation when used to repair a traditional brick, block or stone wall. it is mainly designed for repairing concrete structures"
what is the primary purpose of recovered plastics in mortars?,it is mainly designed for repairing concrete structures. the use of recovered plastics in mortars is being researched and is gaining ground.[17] depolymerizing pet to use as a polymeric binder to enhance mortars is actively being studied
How can the setting speed of a hydraulic lime be increased?,"[17] depolymerizing pet to use as a polymeric binder to enhance mortars is actively being studied.[18][19][20]lime mortar the setting speed can be increased by using impure limestone in the kiln, to form a hydraulic lime that will set on contact with water. such a lime must be stored as a dry powder"
What must be stored as a dry powder?,"such a lime must be stored as a dry powder. alternatively, a pozzolanic material such as calcined clay or brick dust may be added to the mortar mix. addition of a pozzolanic material will make the mortar set reasonably quickly by reaction with the water"
can you build a new building using a lime mortar?,addition of a pozzolanic material will make the mortar set reasonably quickly by reaction with the water.it would be problematic to use portland cement mortars to repair older buildings originally constructed using lime mortar
is lime mortar softer or softer than cement mortar?,"it would be problematic to use portland cement mortars to repair older buildings originally constructed using lime mortar. lime mortar is softer than cement mortar, allowing brickwork a certain degree of flexibility to adapt to shifting ground or other changing conditions"
Which type of mortar is harder to use?,"lime mortar is softer than cement mortar, allowing brickwork a certain degree of flexibility to adapt to shifting ground or other changing conditions. cement mortar is harder and allows little flexibility. the contrast can cause brickwork to crack where the two mortars are present in a single wall"
is brickwork harder or harder when mixed withlime mortar?,cement mortar is harder and allows little flexibility. the contrast can cause brickwork to crack where the two mortars are present in a single wall.lime mortar is considered breathable in that it will allow moisture to freely move through and evaporate from the surface
islime mortar considered breathable or breathable?,"lime mortar is considered breathable in that it will allow moisture to freely move through and evaporate from the surface. in old buildings with walls that shift over time, cracks can be found which allow rain water into the structure"
can you put a lime mortar on a wall?,"in old buildings with walls that shift over time, cracks can be found which allow rain water into the structure. the lime mortar allows this moisture to escape through evaporation and keeps the wall dry"
can you put a lime in a wall with a cement mortar?,the lime mortar allows this moisture to escape through evaporation and keeps the wall dry. re−pointing or rendering an old wall with cement mortar stops the evaporation and can cause problems associated with moisture behind the cement
what is a dense fluid that hardens to fill gaps?,re−pointing or rendering an old wall with cement mortar stops the evaporation and can cause problems associated with moisture behind the cement.grout is a dense fluid that hardens to fill gaps or used as reinforcement in existing structures
"What is a mixture of cement, sand, and grout?","[1] grout is generally a mixture of water, cement, and sand, and is employed in pressure grouting, embedding rebar in masonry walls, connecting sections of precast concrete, filling voids, and sealing joints such as those between tiles"
is grout often color tinted or not?,common uses for grout in the household include filling in tiles of shower floors and kitchen tiles. it is often color tinted when it has to be kept visible and sometimes includes fine gravel when being used to fill large spaces (such as the cores of concrete blocks)
how to create a waterresistant seal,"unlike other structural pastes such as plaster or joint compound, correctly mixed and applied grout forms a waterresistant seal"
"Which is thicker, grout or mortar?","although both grout and its close relative mortar are applied as a thick suspension and harden over time, grout is distinguished[2] by its low viscosity and lack of lime (added to mortar for pliability); grout is thin so it flows readily into gaps, while mortar is thick enough to support not only its own weight, but also that of masonry placed above it"
"grout varieties include tiling, flooring, resin, nonshrinking, structural,","[1]grout varieties include tiling, flooring, resin, nonshrinking, structural, and thixotropic grouts.[3] the use of enhancing admixtures increases the quality of cementbased materials and leads to greater uniformity of hardened properties"
tiling grout is often used to fill the spaces between tiles or mosaics and to,[3] the use of enhancing admixtures increases the quality of cementbased materials and leads to greater uniformity of hardened properties.[4]tiling grout is often used to fill the spaces between tiles or mosaics and to secure tile to its base
is there grout between the tesserae in mosaics?,"[4]tiling grout is often used to fill the spaces between tiles or mosaics and to secure tile to its base. although ungrouted mosaics do exist, most have grout between the tesserae"
Is grout cement based or cement based?,"although ungrouted mosaics do exist, most have grout between the tesserae. tiling grout is also cementbased, and is produced in sanded and unsanded varieties, which affects the strength, size, and appearance of the grout"
Which type of grout is produced with finely ground silica sand?,"tiling grout is also cementbased, and is produced in sanded and unsanded varieties, which affects the strength, size, and appearance of the grout.[5] the sanded variety contains finely ground silica sand; unsanded is finer and produces a smoother final surface"
What type of sand is used to create a smoother final surface?,[5] the sanded variety contains finely ground silica sand; unsanded is finer and produces a smoother final surface. they are often enhanced with polymers and/or latex
What is used in reinforced masonry to fill voids in masonry?,"they are often enhanced with polymers and/or latex.[6]structural grout is often used in reinforced masonry to fill voids in masonry housing reinforcing steel, securing the steel in place, and bonding it to the masonry"
What is the purpose of nonshrinking grout?,"[2] nonshrinking grout is used beneath metal bearing plates to ensure a consistent bearing surface between the plate and its substrate, which adds stability and allows for higher load transfers"
What is the most common cementing agent in grout?,"[7]portland cement is the most common cementing agent in grout, but thermoset polymer matrix grouts based on thermosets such as urethanes and epoxies are also popular"
What is the standard size of pportland cementbased grouts?,"[8]portland cementbased grouts include different varieties depending on the particle size of the ground clinker used to make the cement, with a standard size around 15 microns, microfine from 6–10 microns, and ultrafine below 5 microns"
what do grouts depend on for their basic strength?,"finer particle sizes let the grout penetrate more deeply into a fissure. because these grouts depend on the presence of sand for their basic strength, they are often somewhat gritty when finally cured and hardened"
Which type of grout has the least amount of sand?,"because these grouts depend on the presence of sand for their basic strength, they are often somewhat gritty when finally cured and hardened.from the different types of grout, a suitable one has to be chosen depending on the load. for example, a load up to 7"
How many tons can be expected for a cobbled garden path?,"for example, a load up to 7.5 tons can be expected for a garage access [twocomponent pavement joint mortar (traffic load)], whereas a cobbled garden path is only designed for a pedestrian load [onecomponent pavement joint mortar (pedestrian load)]"
What is not a brick structure's friend?,"furthermore, various substructures determine whether the type of grout should be permanently permeable to water or waterproof, for example, by concrete subfloor.the mechanisms behind mortar deterioration erosion is not a brick structure's friend"
When is the most likely time for brick to be damaged?,"the mechanisms behind mortar deterioration erosion is not a brick structure's friend. in springtime we have dry winds and light rains, followed by summer with frequent rain and extreme heat. the dampness combined with the heat causes the expansion of brick and the surrounding mortar"
When does the dampness and heat cause expansion of brick?,"the dampness combined with the heat causes the expansion of brick and the surrounding mortar. whereas, when wintertime rolls around, we have verycold temperatures, and in some australian locales  freezing temperatures"
when do we have very cold temperatures?,"whereas, when wintertime rolls around, we have verycold temperatures, and in some australian locales  freezing temperatures. the cold tends to cause contraction and shrinkage of bricks and mortar  ever so slightly"
the cold tends to cause contraction and shrinkage of what?,the cold tends to cause contraction and shrinkage of bricks and mortar  ever so slightly.frozen droplets of water between joints actually expand and chip small bits of mortar away (ice takes up more space than water  don't freeze your beers!). this is known as spalling of the mortar
spalling of the mortar is an example of what?,"this is known as spalling of the mortar.these expansions and contractions due to weather culminate to show signs of weathering in your structure's mortar over the years and will present as cracked, crumbling or chippedaway sections"
rain and wind also carry away small grains of what?,"if there are sections that have been exposed to prolonged dampness, the mortar may appear discoloured too.let us not forget, that rain and wind also carry away small grains of mortar from your structures over the years"
What is an example of a strong and hard wearing brick structure?,"combine these effects with land movement, corrosion from salt in ocean air and its effects on corroding lintels, arch bars and wall ties  it is evident why, although strong and hard wearing, brick structures can not last forever without a little help from masonry experts who are experts in brick repairs and repointing, sydney"
What has a decreased ability to repel water?,"structural consequences water entering the structure unfortunately, with deteriorating mortar, comes a reduction in the structure's ability to repel water. small cracks and holes over time allow the passage of water into and around walls which can collect and sit"
mold is a health risk in a building due to what?,"small cracks and holes over time allow the passage of water into and around walls which can collect and sit. if unable to drain away or dry, this can lead to excessive moisture in the building and can develop mould. this then becomes a health risk as mould"
mold spores are highly mobile and harmful when inhaled over prolonged periods of time?,"if unable to drain away or dry, this can lead to excessive moisture in the building and can develop mould. this then becomes a health risk as mould. spores are highly mobile and harmful when inhaled over prolonged periods of time"
mold spores are highly what?,"this then becomes a health risk as mould. spores are highly mobile and harmful when inhaled over prolonged periods of time.deterioration in structure the deteriorating mortar, when unable to sustain the load of the bricks above it, begins to crack and crumble"
