passages,questions
he also recommended that a visual estimation of color differences be made. the munsell color system [82] can be used in both the laboratory and field to determine color changes,the munsell color system can be used in both laboratory and field to determine what?
the munsell color system [82] can be used in both the laboratory and field to determine color changes. winkler [83] has developed a promising method to measure rapidly the reflectance of stone using a photographic light meter and reflex camera,the munsell color system [82] can be used in both the laboratory and field to
winkler [83] has developed a promising method to measure rapidly the reflectance of stone using a photographic light meter and reflex camera.inorganic materials inorganic stone consolidants were extensively used during the l9th century and still are occasionally being used,Inorganic materials inorganic stone consolidants were extensively used during what century?
"most inorganic consolidants produce a white insoluble phase within the voids and pores of a stone, either by precipitation of a salt or by chemical reactions with the stone",How do most inorganic consolidants produce a white insoluble phase?
it has been rationalized that the development of a new phase similar in composition to the matrix of a stone will bind together the particles of deteriorated stone,the matrix of a stone is similar in composition to the matrix of what?
"for example, consolidants which result in the formation of a silica phase should be used to consolidate sandstone, and calcium carbonate or barium carbonate used to consolidate calcareous stones such as limestone",calcareous stones such as limestone should be consolidated in what phase?
"in practice, however, little concern is given to chemical compatibility between the consolidants and stone.little success has been achieved in consolidating stone with inorganic materials, and in some cases their use has greatly accelerated stone decay [16, 50, 78]",How much success has been achieved in consolidating stone with inorganic materials?
"some of the reasons given for the poor performance of inorganic consolidants are their tendencies to produce shallow and hard crusts [16, 60, 76], the formation of soluble salts as reaction by products [1, 16, 60, 86, 87], growth of precipitated crystals [50], and the questionable ability of some of them to bind stone particles together [6, 85]",How many more soluble salts as reaction by products are there than soluble salts?
"of these, the most difficult problem to overcome is the formation of shallow hard surface layers by inorganic consolidants because of their poor penetration abilities",What is the most difficult problem to overcome?
"precipitation processes are often so rapid that precipitates are formed before the inorganic chemicals can appreciably penetrate the stone. a method, referred to as precipitation from homogeneous solutions, has been developed to obtain deeper penetration of stone by some inorganic consolidants",What is formed before inorganic chemicals can penetrate the stone?
this method is discussed in section 4.1.2.siliceous consolidants siliceous consolidants are materials which have been used to consolidate sandstone and limestone through the formation of silica or insoluble silicates, consolidate sandstone and limestone through the formation of silica or insoluble silicates?
"alkali silicates both nonstoichiometric dispersions of silica in sodium hydroxide and soluble alkali silicates have been used to conserve and consolidate stone. when dispersions of silica in sodium hydroxide solutions are applied to a stone. silica is deposited [16, 88]",What has been used to conserve and consolidate stone?
"when dispersions of silica in sodium hydroxide solutions are applied to a stone. silica is deposited [16, 88]. if sodium hydroxide is not removed by washing, it can react with carbon dioxide or sulfur trioxide to form sodium carbonate or sodium sulfate, respectively","If sodium hydroxide is removed by washing, it can form what?"
"these salts can cause unsightly efflorescence and salt crystallization damage. in addition, it seems that sodium hydroxide can react with the constituent of some stones, thereby accelerating stone deterioration [16]",What can sodium hydroxide do to some stones?
"silica can be precipitated by the reaction between sodium silicate, as well as potassium silicate, and acids such as hydrochloric acid and arsenic acid [16, 88, 89]. however, these reactions result in the formation of soluble salts such as sodium chloride and sodium arsenate",How many acids are precipitated by the reaction between sodium silicate and potassium silicate?
"however, these reactions result in the formation of soluble salts such as sodium chloride and sodium arsenate. if the sodium silicate arsenic acid mixture is used to consolidate limestone, crystalline calcium arsenate can be produced by a reaction between calcium carbonate and arsenic acid",what is formed when calcium carbonate reacts with arsenic acid?
"the crystalline calcium arsenate appears to damage limestone by anisotropic crystal growth [16].insoluble silicates have been precipitated in stone by alternate treatments of sodium silicate and a variety of salts such as calcium chloride [16, 85, 88, 91] and zinc carbonate [90]",Which salts precipitated in stone by anisotropic crystal growth?
"colloidal silicates are first produced which eventually become crystalline [16], while soluble salts are produced as by products. impervious surface layers are also produced which trap water beneath [92]",Which type of silicates are first produced?
"impervious surface layers are also produced which trap water beneath [92]. apparently, the silicates precipitate relatively rapidly so that they are deposited near the surfaces of the treated stones",What do the surface layers of the treated stones do?
"apparently, the silicates precipitate relatively rapidly so that they are deposited near the surfaces of the treated stones.even with all the problems associated with the use of alkali silicates, they are still occasionally being applied [5]",how do alkali silicates precipitate?
"even with all the problems associated with the use of alkali silicates, they are still occasionally being applied [5]. recently, the successful use of soluble silicates was reported [93]",How many problems are there with soluble silicates?
"recently, the successful use of soluble silicates was reported [93]. however, the overwhelming evidence clearly indicates that alkali silicates should not be used for stone consolidating purposes",What type of silicates should not be used for stone consolidating purposes?
"however, the overwhelming evidence clearly indicates that alkali silicates should not be used for stone consolidating purposes.silicofluorides both hydrofluosilicic acid and soluble silicofluorides have been used to preserve and consolidate stone",why should alkali silicates be used for stone consolidating purposes?
"hydrofluorosilic acid should not be used on limestone as it reacts vigorously with calcium carbonate to form crystalline calcium silicofluoride, carbonic acid, and carbonate salts [91]",Ishydrofluorosilic acid used on limestone?
"the reaction occurs upon contact of the acid with the limestone producing a shallow crust with little consolidating value. hydrofluorosilic acid reacts more slowly with siliceous based sandstones to form a cementitious material, but again only the surface is hardened",hydrofluorosilic acid reacts slowly with siliceous based sandstones to form what
"hydrofluorosilic acid reacts more slowly with siliceous based sandstones to form a cementitious material, but again only the surface is hardened. hydrofluorosilic acid has a tendency to discolor both limestones and sandstones, especially if they contain iron [16]",Hydrofluorosilic acid reacts faster with what type of sandstones?
"hydrofluorosilic acid has a tendency to discolor both limestones and sandstones, especially if they contain iron [16].many soluble types of silicofluorides, such as magnesium, zinc, and aluminum, have been applied to limestone",How many soluble types of silicofluorides have been applied to limestone?
"many soluble types of silicofluorides, such as magnesium, zinc, and aluminum, have been applied to limestone. resulting products are silica, insoluble fluoride salts and carbon dioxide, which are formed near the surface of the limestone",What are examples of soluble types of silicofluorides?
"resulting products are silica, insoluble fluoride salts and carbon dioxide, which are formed near the surface of the limestone. therefore, only the surface is hardened, which eventually exfoliates [52, 76, 94]",Which product is formed near the surface of the limestone?
"therefore, only the surface is hardened, which eventually exfoliates [52, 76, 94]. soluble silicofluorides also react with calcareous sandstones and again only a hardened surface is obtained",How many soluble silicofluorides react with calcareous sandstones?
"soluble silicofluorides also react with calcareous sandstones and again only a hardened surface is obtained. further, soluble salts are formed when both limestone and calcerous sandstone are treated with silicofluorides [60]", soluble salts are formed when both limestone and calcerous sandstones are treated with what?
"further, soluble salts are formed when both limestone and calcerous sandstone are treated with silicofluorides [60]. these soluble salts have caused damage through salt recrystallization processes [86]", soluble salts have caused damage through what process?
these soluble salts have caused damage through salt recrystallization processes [86]. penkala [95] recently carried out a systematic study of several stone treatments and also found that fluorosilicates were not effective consolidators,the soluble salts have caused damage through what process?
calcium hydroxide aqueous solutions of calcium hydroxide (its saturated solution is often called limewater) have been used for many centuries to protect and consolidate limestone [96],For how long have aqueous solutions of calcium hydroxide been used?
"calcium hydroxide itself does not appear to consolidate stone, but when in solution or a wet state it reacts with atmospheric carbon dioxide to form insoluble calcium carbonate, which may bind particles of calcareous stones together",calcium hydroxide reacts with atmospheric carbon dioxide to form what?
"the solubility of calcium hydroxide is only about 1 gram per liter at room temperature [97], therefore repeated applications are necessary to produce sufficient calcium carbonate to consolidate stone",What is the solubility of calcium hydroxide?
"furthermore, unless very dilute solutions are used, only the calcium hydroxide deposited near the surface of a stone is carbonated. this happens if the dense calcium carbonate being formed at the surface fills the pores and voids in the stone",where is calcium hydroxide deposited near the surface of a stone?
this happens if the dense calcium carbonate being formed at the surface fills the pores and voids in the stone. this severely impedes the migration of carbon dioxide through the treated surface to the interior of the stone,what is formed at the surface of a stone?
this severely impedes the migration of carbon dioxide through the treated surface to the interior of the stone.the newly produced calcium carbonate is susceptible to the same deterioration processes as the calcareous stone,the newly produced calcium carbonate is susceptible to the same deterioration processes as the calcareous
"the newly produced calcium carbonate is susceptible to the same deterioration processes as the calcareous stone. for example, it can react with sulfur trioxide to form calcium sulfate, which is relatively soluble compared to calcium carbonate",is calcium carbonate soluble or unstable?
"for example, it can react with sulfur trioxide to form calcium sulfate, which is relatively soluble compared to calcium carbonate. therefore, the treated stone may not be protected against further weathering",Is calcium carbonate soluble or soluble?
"therefore, the treated stone may not be protected against further weathering. however, the treated stone may eventually gain the authentic appearance of the weathering stone.conflicting opinions have been given of the effectiveness of the calcium hydroxide process",What can be protected against further weathering?
"some conservators [8, 16] have felt that while treatment with calcium hydroxide causes no harm, little permanent consolidation is obtained, while others [50, 96, 98, 99] have recommended the use of lime water to protect limestone from weathering and to consolidate them",How many conservators have recommended the use of lime water to protect limestone from weathering and
"the effectiveness of freshly prepared slaked lime (calcium oxide mixed with water) in consolidating statues at the wells cathedral in england is being investigated by professor baker [100]. he is applying 38 mm thick layers of slaked lime to statues, which are being removed several weeks later",Who is studying the effectiveness of freshly prepared slaked lime?
"he is applying 38 mm thick layers of slaked lime to statues, which are being removed several weeks later. some consolidation appears to be occurring",are the layers of slaked lime being removed?
"some consolidation appears to be occurring.apparently, repeated limewater and slaked lime treatment can gradually consolidate limestone, but such processes are only economically feasible for small objects",can limewater and slaked lime treatment slowly consolidate limestone?
"strontium and barium hydroxides similar to calcium hydroxide, strontium and barium hydroxides will react with carbon dioxide to form insoluble carbonates. again, only the hydroxide near surface of a stone is usually carbonated",Will strontium and barium hydroxides react with carbon dioxide to form insoluble
"again, only the hydroxide near surface of a stone is usually carbonated. however, unlike calcium sulfate, strontium and barium sulfates are insoluble and thus the application of strontium and barium hydroxides may reduce the weathering of stone exposed to polluted environments",Is the hydroxide near surface of a stone carbonated or carbonated?
"the early work on the use of barium hydroxide to conserve stone was performed by church [101 103]. initially, excellent results were obtained. however, only a surface hardening was being obtained and eventually the barium carbonate or barium sulfate layer exfoliated [16, 50, 76, 92]",Who performed the first work on the use of barium hydroxide to conserve stone?
"the exfoliation problem has been attributed not only to the formation of a dense impervious surface layer, but also to anisotropic crystal growth of barium carbonate and barium sulfate [16, 50]",the exfoliation problem has been attributed to the formation of a dense impervious surface layer
lewin [104] and sayre [105] have developed methods intended to precipitate barium carbonate and barium sulfate deeply within a stone. these methods are based on a process known as precipitation from homogeneous solution [106],the methods of precipitate barium carbonate and barium sulfate deeply within a stone
these methods are based on a process known as precipitation from homogeneous solution [106]. in this process the material to be precipitated and the precipitating chemicals are present in the same solution,p precipitation from homogeneous solution is based on a process called what?
"in this process the material to be precipitated and the precipitating chemicals are present in the same solution. for example, barium carbonate is precipitated from an aqueous solution of barium hydroxide and urea [104, 108]. the urea slowly undergoes hydrolysis producing ammonia and carbon dioxide",is barium carbonate precipitated from aqueous solution of urea and urea
the urea slowly undergoes hydrolysis producing ammonia and carbon dioxide. the liberated ammonia and carbon dioxide dissolves in the water forming ammonium carbonate which raises the ph of the solution,the urea slowly undergoes hydrolysis producing what?
"the liberated ammonia and carbon dioxide dissolves in the water forming ammonium carbonate which raises the ph of the solution. when a certain ph is reached, barium hydroxide reacts with the carbonate ion and barium carbonate is precipitated",is barium hydroxide precipitated or precipitated?
"when a certain ph is reached, barium hydroxide reacts with the carbonate ion and barium carbonate is precipitated. the reaction rate can be controlled so the barium carbonate precipitate forms days after a stone is treated",when is barium carbonate precipitated?
the reaction rate can be controlled so the barium carbonate precipitate forms days after a stone is treated. the slow formation of barium carbonate is reported to give a crystalline solid solution with the calcite crystals of calcareous stone,the reaction rate of barium carbonate is controlled when?
the slow formation of barium carbonate is reported to give a crystalline solid solution with the calcite crystals of calcareous stone. barium sulfate can be precipitated in a stone by an analogous method,can barium sulfate be precipitated in a stone?
"barium sulfate can be precipitated in a stone by an analogous method. an aqueous solution of a barium monoester of sulfuric acid hydrolyzes slowly when a base is added, releasing barium and sulfate ions [106]",how do you precipitate barium sulfate in a stone?
"an aqueous solution of a barium monoester of sulfuric acid hydrolyzes slowly when a base is added, releasing barium and sulfate ions [106].the precipitation of barium carbonate and barium sulfate by homogeneous solution precipitation methods is clearly a promising approach",the precipitation of barium carbonate and barium sulfate by homogeneous solution precipitation methods
"the precipitation of barium carbonate and barium sulfate by homogeneous solution precipitation methods is clearly a promising approach. to date, however, only experimental testing has been carried out and little is known concerning the long term consolidating effectiveness of this approach",What is a promising approach?
"warnes [16] and marsh [50] have both suggested that crystalline inorganic precipitates, such as barium carbonate and sulfate, do not have long term consolidating value",Which precipitates do not have long term consolidating value?
"also the precipitates of barium carbonate and barium sulfate have a larger molecular volume than calcite and appear to exhibit anisotropic crystal growth [16, 50]. it should not be assumed that deteriorated stone will have sufficient empty volume to accommodate these precipitates",Which precipitates have a larger molecular volume than calcite?
"therefore, until more is known of the long term effects of barium carbonate and barium sulfate on the durability of stone, they should be regarded as experimental materials which should not be applied to important historic structures",What should be regarded as experimental materials which should not be applied to important historic structures?
"alkoxysilanes are regarded by many stone conservators [8, 25, 59, 99, 109 114] as being among the most promising stone consolidating materials for siliceous sandstones. the feasibility of using alkoxysilanes to consolidate calcareous stone is also being studied [115 116]",How many more alkoxysilanes are there than stone conservators?
"the main reasons that alkoxysilanes are being highly regarded are their abilities to penetrate deeply into porous stone and the fact that their polymerization can be delayed until deep penetration has been achieved [25, 58, 99, 109, 110, 112]",How many alkoxysilanes are highly regarded?
"in addition, they polymerize to produce materials similar to the binder in siliceous sandstone.the use of alkoxysilanes for consolidating stone is not a recent development. for example, laurie [117] received a patent in 1925 for producing such a material to be used for stone consolidation",the use of alkoxysilanes for consolidating what is a recent development?
"for example, laurie [117] received a patent in 1925 for producing such a material to be used for stone consolidation. other early researchers on the use of alkoxysilanes to consolidate stone are cogan and setterstrom [118 119]. alkoxysilanes have been commonly used since around 1960 in germany [5]",How many researchers on the use of alkoxysilanes to consolidate stone are there?
"alkoxysilanes have been commonly used since around 1960 in germany [5]. recently, a promising alkoxysilane consolidating material was developed at the uk building research establishment, called ""brethane"" [112]",How many years have alkoxysilane consolidating material been used?
"recently, a promising alkoxysilane consolidating material was developed at the uk building research establishment, called ""brethane"" [112].price [58] and weber [111] have observed that alkoxysilanes can penetrate porous stones to a depth of between 20 to 25 mm",where was the promising alkoxysilane consolidating material developed?
price [58] and weber [111] have observed that alkoxysilanes can penetrate porous stones to a depth of between 20 to 25 mm. the newly developed brethane has been reported [112] to penetrate as deeply as 50 mm,Which two companies have observed that alkoxysilanes can penetrate porous stones to a depth
"the newly developed brethane has been reported [112] to penetrate as deeply as 50 mm. no noticeable polymerization occurs with brethane for at least 3 hours after it is mixed with a solvent and catalysis [58, 109]",How long does it take for the newly developed brethane to penetrate as deeply as 50
"no noticeable polymerization occurs with brethane for at least 3 hours after it is mixed with a solvent and catalysis [58, 109]. the large sizes of unpolymerized alkoxysilane molecules, no doubt, will prevent them from entering the smaller pores of a stone",how long does it take for the polymerization of brethane to occur?
"the large sizes of unpolymerized alkoxysilane molecules, no doubt, will prevent them from entering the smaller pores of a stone.marschner reported [120] that alkoxysilanes improved the resistance of sandstone to sodium sulfate crystallization",who reported that alkoxysilanes improved the resistance of sandstone to sodium sulfate
"marschner reported [120] that alkoxysilanes improved the resistance of sandstone to sodium sulfate crystallization. however, she also observed that their performance varied from sandstone to sandstone and also depended on the compatibility between the solvent and the specific stone being treated", alkoxysilanes improved the resistance of sandstone to what crystallization?
similar findings were reported by moncrieff [115] who studied the consolidation of marble,who studied the consolidation of marble?
snethlage and klemm [121] observed in a scanning electron microscope analysis of impregnated sandstone that a polymerized alkoxysilane appeared to fill the space between sandstone grains and form a continuous coating,a polymerized alkoxysilane appeared to fill the space between sandstone grains and
"however, polymerized alkoxysilanes are reported [25, 58,110, 115] to have little effect on moisture passage in stone and the frost resistance of stone. some slight changes in the color of treated stone have been observed [122, 123]",How many alkoxysilanes are reported to have little effect on moisture passage in stone
"some slight changes in the color of treated stone have been observed [122, 123]. for example, statutes on the wells cathedral have become more dull grey following treatment with an alkoxysilane [123]",Is the color of treated stone dull or dull?
"for example, statutes on the wells cathedral have become more dull grey following treatment with an alkoxysilane [123]. further, a treated stone panel on the cathedral has acquired a slightly more orange tone than adjacent untreated panels",Is the treated stone panel on the wells cathedral dull or orange?
"further, a treated stone panel on the cathedral has acquired a slightly more orange tone than adjacent untreated panels.once a section of stone is treated with alkoxysilane, it will probably weather differently than the untreated stone",can a treated stone panel be treated with alkoxysilane?
"once a section of stone is treated with alkoxysilane, it will probably weather differently than the untreated stone. thus, unless most of the visible parts of a structure are similarly treated, the contrast between the treated and untreated stone could become very noticeable","If a stone is treated with alkoxysilane, will it probably weather differently or"
"strength improvements of around 20 percent have been reported [25, 110] when sandstone specimens were impregnated with alkoxysilanes. the ability of alkoxysilanes to consolidate deteriorated stone in the field, however, has not been unequivocally demonstrated",How many percent of strength improvements have been reported when sandstone specimens were impregnated with
"the ability of alkoxysilanes to consolidate deteriorated stone in the field, however, has not been unequivocally demonstrated. further, it appears that the performance of alkoxysilanes varies from stone to stone",The ability of alkoxysilanes to consolidate deteriorated stone in the field has not been
"further, it appears that the performance of alkoxysilanes varies from stone to stone.even if alkoxysilanes are found to be effective consolidants, their high cost [28, 112] will probably limit their use to statues and smaller sized stone objects",what is a drawback of alkoxysilanes?
"synthetic organic polymer systems two general types of synthetic organic polymer systems are used to consolidate stone. in the first, monomeric organic molecules are first polymerized, dissolved in appropriate solvents, and then applied to stone",How many general types of synthetic organic polymer systems are there?
"in the first, monomeric organic molecules are first polymerized, dissolved in appropriate solvents, and then applied to stone. they are deposited within the voids and pores of the stone as the solvent evaporates","when are monomeric organic molecules first polymerized, dissolved in appropriate solvents,"
"they are deposited within the voids and pores of the stone as the solvent evaporates. the second type are monomeric organic molecules, either pure or dissolved in a solvent, which are polymerized within the voids and pores of a stone",How are monomeric organic molecules deposited?
"the second type are monomeric organic molecules, either pure or dissolved in a solvent, which are polymerized within the voids and pores of a stone. viscous monomers are diluted with solvents so that deep penetration can be achieved [57]",How are monomeric organic molecules polymerized?
"solvents which evaporate rapidly (most common organic solvents), however, have been found to draw organic consolidants back to the surface of a stone, resulting in the formation of impervious hard surface crusts [57, 61]",What are the most common organic solvents?
munnikendam [59] has recommended that organic consolidants should be selected whose solidification does not depend on solvent evaporation.both thermoplastics and thermosets have been used to consolidate stone,What has been used to consolidate stone?
both thermoplastics and thermosets have been used to consolidate stone. a thermoplastic is a material which can be reformed by the application of heat without significant changes in properties,is a thermoplastic the same as a thermoset?
"a thermoplastic is a material which can be reformed by the application of heat without significant changes in properties. examples of thermoplastics are poly(vinylchloride), poly(ethylene), nylon, poly(styrene) and poly(methylmethacrylate)",What is a thermoplastic?
"examples of thermoplastics are poly(vinylchloride), poly(ethylene), nylon, poly(styrene) and poly(methylmethacrylate). a thermoset is a material which is formed into a permanent shape by the application of heat, and once formed, cannot be remelted or reformed",What are some examples of thermoplastics?
"a thermoset is a material which is formed into a permanent shape by the application of heat, and once formed, cannot be remelted or reformed. polyester, epoxy, and polyurethane are examples of thermosets",Is polyurethane an example of a thermoset?
"polyester, epoxy, and polyurethane are examples of thermosets. methylmethacrylate can be converted into a thermoset by copolymerization with a three dimensional cross linking material",How can methylmethacrylate be converted into a thermoset?
"methylmethacrylate can be converted into a thermoset by copolymerization with a three dimensional cross linking material.the use of synthetic organic polymer systems to consolidate stone is a recent development, dating back to around the early 1960's",the use of synthetic organic polymer systems to consolidate stone dates back to when?
"the use of synthetic organic polymer systems to consolidate stone is a recent development, dating back to around the early 1960's. therefore, little is known regarding the long term performance of these materials",What is a recent development?
"therefore, little is known regarding the long term performance of these materials. some organic consolidants have been found to improve significantly the mechanical properties of deteriorated stone",What has been found to improve the mechanical properties of deteriorated stone?
"some organic consolidants have been found to improve significantly the mechanical properties of deteriorated stone. many organic polymers are susceptible to degradation by oxygen and ultraviolet radiation, but this would only affect the materials on the surface of a treated stone [1]",What has been found to improve the mechanical properties of deteriorated stone?
riederer reported [5] that the surfaces of some stone structures in germany which had been consolidated with organic polymers in 1965 had exhibited deep channel erosion by 1975,When didriederer report that the surfaces of some stone structures in germany had been
"apparently, water gradually eroded the consolidated surface and once the surface was pierced, erosion proceeded rapidly into the untreated stone.acrylic polymers methylmethacrylate and to a lesser extent butylmethacrylate have been used to consolidate concrete [64, 65] and stone [58]",What was used to consolidate concrete and stone?
"acrylic polymers methylmethacrylate and to a lesser extent butylmethacrylate have been used to consolidate concrete [64, 65] and stone [58]. these monomers can be applied solvent free to porous solids and can be polymerized in situ",How can the polymers be applied to porous solids?
these monomers can be applied solvent free to porous solids and can be polymerized in situ. an excellent source for information on their polymerization as well as on polymer impregnated concrete is the report by kukacha et al [64],How can monomers be applied solvent free to porous solids?
"methylmethacrylate has been polymerized into poly(methylmethacrylate) by heating with an initiator, by gamma radiation, and at ambient temperature by combination of promoters and initiators [64, 124]",How is poly(methacrylate) polymerized?
"for thermal polymerization, the chemical initiator (catalyst) azobis(isobutyronitrile) has been found to be effective [125]. heating blankets could be used to thermally polymerize methylmethacrylate or other monomerics applied to a stone structure",What is the chemical initiator for thermal polymerization?
heating blankets could be used to thermally polymerize methylmethacrylate or other monomerics applied to a stone structure. polymerization by radiation is only feasible if carried out in special chambers because of the radiation hazards,Why is it difficult to polymerize monomerics by radiation?
polymerization by radiation is only feasible if carried out in special chambers because of the radiation hazards. chemical promoters convert initiators into free radicals at ambient temperatures. then these free radicals induce the polymerization of methylmethacrylate,When do chemical promoters convert initiators into free radicals at ambient temperatures?
"then these free radicals induce the polymerization of methylmethacrylate. munnikendam [61] used n,n dimethyl p toluidine to decompose benzoyl peroxide into free radicals. he found, however, that oxygen inhibited the subsequent polymerization reaction of methylmethacrylate",Methacrylate is polymerized by oxygen in what way?
"he found, however, that oxygen inhibited the subsequent polymerization reaction of methylmethacrylate. better success probably could be achieved by using azobis(isobutyronitrile) as the initiator [125]",what inhibited the subsequent polymerization reaction of methylmethacrylate?
"where deep or complete impregnation and complete polymerization was achieved, methylmethacrylate and other acrylates have been shown to improve substantially the mechanical properties and durability of porous materials such as concrete [64]",What has been shown to improve the properties of porous materials such as concrete?
"however, incomplete impregnation, with acrylates may result in the formation of a distinct interface between treated and untreated stone [120].polymer impregnated concretes based on acrylics are classified as brittle materials based on their stress strain curves [64, 125, 126]",How are polymer impregnated concretes based on acrylics classified?
"polymer impregnated concretes based on acrylics are classified as brittle materials based on their stress strain curves [64, 125, 126]. stone consolidated with methylmethacrylate and other acrylics can be expected to exhibit a similar brittle behavior",Is stone consolidated with methylmethacrylate expected to exhibit a similar brittle behavior or
"stone consolidated with methylmethacrylate and other acrylics can be expected to exhibit a similar brittle behavior.methylmethacrylate, no doubt, can harden the surface of a stone and effectively consolidate the stone if both deep penetration and complete polymerization are achieved",What can harden the surface of a stone and effectively consolidate it if both deep penetration and
"similar to the case with alkoxysilanes, however, stone impregnated with methylmethacrylate will probably weather differently than untreated stone. in addition, erosion through the treated stone [5] could contribute to the development of an unsightly appearance",Is untreated stone more or less likely to weather differently than untreated stone?
"in addition, erosion through the treated stone [5] could contribute to the development of an unsightly appearance.acrylic copolymers copolymers are produced by the joining of two or more different monomers in a polymer chain [127]",How many monomers are in a polymer chain?
"acrylic copolymers copolymers are produced by the joining of two or more different monomers in a polymer chain [127]. a commercially available acrylic copolymer used for stone consolidation is copolymerized from ethylmethacrylate and methylacrylate [38, 121]",How many monomers are in a polymer chain?
"other acrylic copolymers which have been studied for stone conservation include copolymers between acrylics and fluorocarbons [128, 129] and between acrylics and silicon esters [59, 121].the acrylic copolymers are dissolved in organic solvents then applied to stone",Which acrylic copolymers are dissolved in organic solvents then applied to stone?
"the acrylic copolymers are dissolved in organic solvents then applied to stone. as discussed earlier, unless very dilute solutions are applied to a stone solvent evaporation will tend to draw the acrylic copolymers back to the surface", acrylic copolymers are dissolved in organic solvents then applied to what?
"then, even if diluted to the lowest concentration that will give some consolidation, their solutions still may have viscosities which impede their penetration into stone",what do viscosities do to stone?
"vinyl polymers several vinyl polymers have been studied or used for conservation and consolidating of stone including poly(vinylchloride) [54, 130], chlorinated poly(vinylchloride) [130], and poly(vinylacetate) [38, 54, 130, 131]",How many vinyl polymers have been used for conservation and consolidating of stone?
"these polymers are dissolved in organic solvents and then applied to stone. photochemical processes could release chlorine from the chloride polymers, which could damage stone [130]. poly(vinylacetate) has been found to produce a glossy stone surface [130]",Which polymers are dissolved in organic solvents and then applied to stone?
"poly(vinylacetate) has been found to produce a glossy stone surface [130]. if not carefully applied and if not sufficiently diluted, use of the vinyl polymers undoubtedly will result in the formation of impervious layers which entrap moisture and salts underneath [38]",What has been found to produce a glossy stone surface?
"epoxies the feasibility of using epoxies to consolidate stone is addressed by first briefly discussing their chemistry and then applications.an epoxy consists of an epoxy resin and a curing agent which is actually a polymerization agent. cure, i.e",is an epoxy the same as a cure?
"an epoxy consists of an epoxy resin and a curing agent which is actually a polymerization agent. cure, i.e., polymerization, of an epoxy is initiated by mixing the epoxy resin with the curing agent. the epoxy resin is then converted into a hard thermosetting cross linked polymer",How is the cure of an epoxy initiated?
"the epoxy resin is then converted into a hard thermosetting cross linked polymer. the most commonly used epoxy resins are monomers of diphenylolpropane, called bisphenol a, and epichlorohydrin. resins produced from these reactants are liquids, but are too viscous to penetrate stone deeply",is bisphenylolpropane a liquids or a liquids?
"resins produced from these reactants are liquids, but are too viscous to penetrate stone deeply. therefore, they are diluted with organic solvents. these epoxy resins are often cured using an amine curing agent",How are epoxy resins often cured?
"therefore, they are diluted with organic solvents. these epoxy resins are often cured using an amine curing agent. their cure time can be adjusted by selecting a slowly or rapidly reacting curing agent and by controlling the curing temperature",how to cure epoxy resins?
"their cure time can be adjusted by selecting a slowly or rapidly reacting curing agent and by controlling the curing temperature. the resulting cross linked polymers have excellent adhesion to stone and concrete, and excellent chemical resistances",the cure time can be adjusted by controlling the what?
"the resulting cross linked polymers have excellent adhesion to stone and concrete, and excellent chemical resistances. two recommended sources for information on epoxies, such as their chemistry, curing, and applications are reference nos. 132 and 133",What are the two sources for information on epoxies?
132 and 133.gauri [134 135] developed a method to achieve deep penetration with viscous epoxy resins and at the same time avoid the formation of a sharp interface between the consolidated and untreated stone,How did 132 and 133.gauri achieve deep penetration with viscous epoxy resins
"first, specimens are soaked in acetone, then in a dilute solution of epoxy resin in acetone, followed by soaking in increasingly concentrated solutions. this method is feasible for small stone objects such as tombstones and statues, but would be too time consuming and expensive for stone structures",What is the first step in soaking in acetone?
"this method is feasible for small stone objects such as tombstones and statues, but would be too time consuming and expensive for stone structures.less viscous epoxy resins are available including diepoxybutane diglycidyl ether and butanediol diglycidyl ether [58]",Is the method feasible for large stone objects such as tombstones or statues?
less viscous epoxy resins are available including diepoxybutane diglycidyl ether and butanediol diglycidyl ether [58]. munnikendam [61] cured butanediol diglycidyl ether with alicyclic polyamines such as menthane diamine,Which type of epoxy resins are available?
"munnikendam [61] cured butanediol diglycidyl ether with alicyclic polyamines such as menthane diamine. however, the viscosity was still too high and he diluted the mixture with tetraethoxysilane and tetramethoxysilane",How many polyamines were added to butanediol diglycidyl ether?
"however, the viscosity was still too high and he diluted the mixture with tetraethoxysilane and tetramethoxysilane. a complex reaction took place involving the epoxy resin, curing agent and solvent to produce a tough, glassy material",what was the result of the complex reaction?
"a complex reaction took place involving the epoxy resin, curing agent and solvent to produce a tough, glassy material. a white efflorescence also developed due to a reaction between the polyamine and carbon dioxide to form amine carbonates [61, 137]",What was the result of the polyamine and carbon dioxide reaction?
"a white efflorescence also developed due to a reaction between the polyamine and carbon dioxide to form amine carbonates [61, 137]. formation of the aminecarbonates can be avoided by preventing carbon dioxide from coming in contact with the solution",How can the formation of aminecarbonates be avoided?
"gauri [128, 136] observed that when low viscosity aliphatic epoxy resins were applied to calcareous stones, the reaction rates between the stones and carbon dioxide and sulfur dioxide were increased compared to the rates with untreated stones",What was applied to calcareous stones?
"he suggested that the increased reactivity could be caused by absorption of the gases by the epoxy polymer or by the polymer acting as a semipermeable film to the gases. in contrast, bisphenol a based epoxy polymers were found to protect the stone from both carbon dioxide and sulfur dioxide",what was bisphenol a based epoxy polymers found to protect?
"the use of epoxies has been suggested for consolidating limestone [14, 128, 129], marble [134 139], and sandstone [61, 121] as well as for re adhering large stone fragments to mass stone [1]",What has been suggested for the use of epoxies?
