instruction,context,response
Organic consolidants can change the reflective properties of what?,"while organic consolidants usually form transparent polymers when cured, they can change the reflective properties of a stone [79]",The organic consolidants usually form transparent polymers when cured they can change the reflective properties of a stone.
How optical properties of organic polymers gradually change?,"further, the optical properties of organic polymers may gradually change because of their degradation by photochemical processes, oxidation by oxygen and ozone, and attack by air pollutants","The optical properties of organic polymers may gradually change because of their degradation by photochemical processes, oxidation by oxygen and ozone and attack by air pollutants."
How do most inorganic consolidants produce a white insoluble phase?,"most inorganic consolidants produce a white insoluble phase within the voids and pores of a stone, either by precipitation of a salt or by chemical reactions with the stone","Most inorganic consolidants produce a white insoluble phase within the voids and pores of a stone, either by precipitation of a salt or by chemical reactions with the stone."
What consolidants should be used for sandstone?,"for example, consolidants which result in the formation of a silica phase should be used to consolidate sandstone, and calcium carbonate or barium carbonate used to consolidate calcareous stones such as limestone",Consolidants which result in the formation of a silica phase should be used to consolidate sandstone.
What consolidants should be used for limestone?,"for example, consolidants which result in the formation of a silica phase should be used to consolidate sandstone, and calcium carbonate or barium carbonate used to consolidate calcareous stones such as limestone",Calcium carbonate or barium carbonate should be used to consolidate limestone.
How much success has been achieved in consolidating stone with inorganic materials?,"in practice, however, little concern is given to chemical compatibility between the consolidants and stone.little success has been achieved in consolidating stone with inorganic materials, and in some cases their use has greatly accelerated stone decay [16, 50, 78]",Little success has been achieved in consolidating stone with inorganic materials and in some cases their use has greatly accelerated stone decay.
Are inorganic consolidants good for stone?,,No they are not.
Are inorganic consolidants harmful for stone?,,Yes probably they are.
Why inorganic consolidants peform poorly?,"some of the reasons given for the poor performance of inorganic consolidants are their tendencies to produce shallow and hard crusts [16, 60, 76], the formation of soluble salts as reaction by products [1, 16, 60, 86, 87], growth of precipitated crystals [50], and the questionable ability of some of them to bind stone particles together [6, 85]",They tend to produce shallow and hard crusts.
What is the most important problem of inorganic stone consolidants?,"of these, the most difficult problem to overcome is the formation of shallow hard surface layers by inorganic consolidants because of their poor penetration abilities",The formation of shallow hard surface layers by inorganic consolidants because of their poor penetration abilities.
