question,context
What do you need to be a good researcher in the scientific aspects of stone conservation?,"to be a good researcher in the scientific aspects of stone conservation, one needs a thorough grounding in science,training in research, and a sound appreciation of conservation issues"
the resources available for stone research are small by comparison to what?,"the resources available for stoneresearch are small by comparison with the magnitude of the problem, and wecannot afford to waste them"
the 6th international congress on deterioration andconservation of stone was held in which year?,"c.1993paris: icom committee for conservation.proceedings of the 6th international congress on deterioration andconservation of stone1988torun, poland: nicholas copernicus university.sayre, e. v., p. b"
"Pittsburgh: materials research society.vandiver, p. b. freestone","pittsburgh: materials researchsociety.vandiver, p. b., j. r. druzik, g. s. wheeler, and i. c. freestone, eds.1992materials issues in art and archaeology 3.  pittsburgh: materials researchsociety"
the deterioration and conservation of stone: notes from the internationalvenetian courses on stone restoration,"brescia, italy: grafo.courseslazzarini, l., and r. pieper, eds.1989the deterioration and conservation of stone: notes from the internationalvenetian courses on stone restoration"
"in conservation of stone and other materials, e & f n spon.agarossi","in  conservation of stone and other materials,  ed. m.j. thiel, 14451.london: e & f n spon.agarossi, g., r. ferrari, and m. monte1989biocides in the control of biodeterioration"
the cleaning of deteriorated stone minerals is an example of what type of process?,"arkos  14:2634.alessandrini, g., l. toniolo, a. antonioli, a. di silvestro, f. piacenti,s. righini ponticelli, and l. formica1993on the cleaning of deteriorated stone minerals"
who is responsible for the cleaning of deteriorated stone minerals?,"piacenti,s. righini ponticelli, and l. formica1993on the cleaning of deteriorated stone minerals. in  conservation of stone andother materials,  ed. m.j. thiel, 50311. london: e & f n spon"
what is the full name of the person who conservation of stone andother materials?,"in  conservation of stone andother materials,  ed. m.j. thiel, 50311. london: e & f n spon.alonso, f. j., r. m. esbert, j. alonso, and j. ordaz1994saline spray a ction on a treated dolomitic stone"
What is the full name of the person who conservation of building and decorative stone?,"padova, italy:università degli studi di padova.ashurst, j.1990acleaning masonry buildings. in  conservation of building and decorative stone,vol. 2, ed. j. ashurst and f. g. dimes, 12554"
the cleaning and treatment of limestone by the lime method was completed in what year?,"in  conservation of building and decorative stone,vol. 2, ed. j. ashurst and f. g. dimes, 12554. london: butterworthheinemann.1990bthe cleaning and treatment of limestone by the lime method"
the cleaning and treatment of limestone by the lime method was published in what year?,"london: butterworthheinemann.1990bthe cleaning and treatment of limestone by the lime method. in  conservation ofbuilding and decorative stone,  vol. 2, ed. j. ashurst and f. g. dimes, 16984"
What was the name of the 1991 study that included sulfated marble?,"studies in conservation  18:4963.atlas, r. m., a. n. chowdhury, and k. l. gauri1988microbial calcification of gypsumrock and sulfated marble.  studies in conservation  33:14953.atzeni, c., m. g"
What is the name of the person who conservation ofstone and other materials?,"auras, m.1993stone conservation by impregnation with polyurethane. in  conservation ofstone and other materials,  ed. m.j. thiel, 71724. london: e & f n spon.ausset, p., r. lefevre, j"
was bassier's rayonnement ultraviolet dans la désinfection des mat,"bassier, c.1989le rayonnement ultraviolet dans la désinfection des matériaux de nature oud'origine minérale: exemples d'application"
What is the name of the person who conservation of stone and othermaterials?,"in  conservation of stone and othermaterials,  ed. m.j. thiel, 68996. london: e & f n spon.black, s. n., l. a. bromley, d. cottier, j. d. roger, b. dobs, and j. e"
What is the name of the paper that chronicles thedesalination of stone?,"journal of the chemical society, faraday transactions  87:340914.bowley, m. j.1975desalination of stone: a case study. in  building research establishment currentpaper cp46/75"
who conducted a four year study of stone decay in different pollution climates in the unitedkingdom,"f. c. hughes, c. m. hutchens,j. g. irwin, g. o. lloyd, s. w. massey, a. h. webb, and t. j. s. yates1992a fouryear study of stone decay in different pollution climates in the unitedkingdom"
How many years was the study of stone decay in different pollution climates?,"s. yates1992a fouryear study of stone decay in different pollution climates in the unitedkingdom.  7th international congress on deterioration and conservation ofstone,  34553"
What was the topic of the 7th international congress on deterioration and conservation ofstone?,"7th international congress on deterioration and conservation ofstone,  34553. lisbon: laboratório nacional de engenharia civil.butlin, r. n., t. j. s. yates, and w. martin"
when was the diagnosis and conservation of stone material published?,"in  stone material inmonuments: diagnosis and conservation,  2742. crete: comunità delleuniversità mediterranee, scuola universiteria conservazione dei monumenti.camuffo, d., m. del monte, c"
the o. salva dori 1989biodeterioration of stone was done in,"atmospheric environment  16:225359.caneva, g., m. p. nugari, and o. salvadori1991biology in the conservation of works of art.  rome: iccrom.caneva, g., and o. salva dori1989biodeterioration of stone"
What is the name of the series of courses on stone restoration?,"rome: iccrom.caneva, g., and o. salva dori1989biodeterioration of stone. in  the deterioration and conservation of stone:notes from the international venetian courses on stone restoration,ed. l"
who is the 7th internationalcongress on deterioration and conservation of stone?,"7th internationalcongress on deterioration and conservation of stone,  58190. lisbon:laboratório nacional de engenharia civil.chiavarini, m., v. guidetti, g. bortolaso, and u"
who measured stone decay with close range photogrammetry?,"coe, j. a., s. i. sherwood, j. a. messerich, c. l. pillmore, a. andersen, andv. g. mossotti1991measuring stone decay with close range photogrammetry"
the 7th internationalcongress on deterioration and conservation of stone was published in what year?,"cooper, m. i., d. c. emmony, and j. h. larson1992a comparative study of the laser cl eaning of limestone.  7th internationalcongress on deterioration and conservation of stone,  130716"
the 7th internationalcongress on deterioration and conservation of stone was published in what year?,"7th internationalcongress on deterioration and conservation of stone,  130716. lisbon:laboratório nacional de engenharia civil.references 471993laser cleaning of limestone sculpture"
What was the topic of the 7th international congress on deterioration and conservation of stone?,"7th international congress on deterioration and conservation of stone,104352. li sbon: laboratorio nacional de engenharia civil.del monte, m.1991stone monument decay and air pollution"
What is the name of the patina called on imperial roman marbles?,"del monte, m., and c. sabbioni1987a study of the patina called ""scialbatura"" on imperial roman marbles.  studies inconservation  32:11421.de santis, f., d. pasella, and i"
the so2 deposition on marble was applied to the study of what?,"studies inconservation  32:11421.de santis, f., d. pasella, and i. allegrini1994a diffusion technique for the evaluation of surface reactivity: application to thestudy of so2 deposition on marble"
What type of sandstone was used in northern belgium?,"zezza, 21316. venice:soprintendenza ai beni artistici e storici di venezia.de witte, e., and k. bos1992conservation of ferruginous sandstone used in northern belgium"
How many years after the 7th international congress on deterioration and conservation of stone did de w,"de witte, e., and k. bos1992conservation of ferruginous sandstone used in northern belgium.  7th international congress on deterioration and conservation of stone,  111325"
What was the subject of the 7th international congress on deterioration and conservation of stone?,"7th international congress on deterioration and conservation of stone,  111325. lisbon:laboratório nacional de engenharia civil.de witte, e., and m. dupas1992cleaning poultices based on edta"
How many years after the 7th international congress on deteriorationand conservation of stone did de w,"de witte, e., and m. dupas1992cleaning poultices based on edta.  7th international congress on deteriorationand conservation of stone,  102331. lisbon: laboratório nacional deengenharia civil"
How many biogenicparticles were found in mediterranean marbles?,"wollenzien, w. e. krumbein,and r. a. lefevre1994on the problem of rock blackening by flyash, fungal and other biogenicparticles, and their detection in mediterranean marbles and monuments"
in situ dynamics of sodium sulfate hydration and dehydration in stone pores:observations,"references 48doehne, e.1994in situ dynamics of sodium sulfate hydration and dehydration in stone pores:observations at high magnification using the environmental scanning electronmicroscope"
who is the conservation of stone andother materials?,"in  conservation of stone andother materials,  ed. m.j. thiel, 58188. london: e & f n spon.esbert, r. m., c. grossi, l. m. suarez del río, l. calleja, j. ordaz,and m"
What is the name of the artist who produced the acoustic emission generated in treated stones during loading,"london: e & f n spon.esbert, r. m., c. grossi, l. m. suarez del río, l. calleja, j. ordaz,and m. montoto1988acoustic emission generated in treated stones during loading"
"the proceedings of the6th international congress on deterioration and conservation of stone 1988,40310","calleja, j. ordaz,and m. montoto1988acoustic emission generated in treated stones during loading.  proceedings of the6th international congress on deterioration and conservation of stone 1988,40310"
m. grossi 1991mechanical stresses generated by crystallization of salts inside treated and,m. grossi1991mechanical stresses generated by crystallization of salts inside treated andnontreated monumental stones: monitoring and inter pretation by acousticemission/microseismic activity
thefaraday society was able to diagnose stone and concrete structures usingnondestructive,"transactions of thefaraday society  57:154151.facaoaru, i., and c. l ugnani1993contributions to the diagnosis of stone and concrete historical structures usingnondestructive techniques"
who is conserving stone and other materials?,"in  conservation of stone and other materials,ed. m.j. thiel, 23851. london: e & f n spon.references 49fassina, v"
what pollutants are responsible for stone decay?,"london: e & f n spon.references 49fassina, v.1991atmospheric pollutants responsible for stone decay: wet and dry surface deposition of air pollutants on stone and the formation of black scabs"
what was the criteria for cleaning of stone in 1993?,"bari: comunità delle università mediterranee, scuolauniversiteria conservazione dei monumenti.1993general criteria for the cleaning of stone: theoretical aspects and methodologyof application"
How many criteria are there for cleaning of stone?,"1993general criteria for the cleaning of stone: theoretical aspects and methodologyof application. in stone  material in monuments: diagnosis and conservation,12632"
What was the last issue of the 7th international congress on deterioration and conservation of stone?,"finzi, e., v. massa, and d. morero1992radaraided investigations on mosaics.  7th international congress on deterioration and conservation of stone,  96978"
the 7th international congress on deterioration and conservation of stone was held in which year?,"7th international congress on deterioration and conservation of stone,  96978. li sbon: laboratório nacional deengenharia civil.fitz, s"
the 7th international congress ondeterioration and conservation of stone was held in which,"7th international congress ondeterioration and conservation of stone,  95768. lisbon: laboratório nacionalde engenharia civil.references 50friese, p"
What is the name of the conservation treatments applied to permotriassicsandstone?,"galan, e.r and m. i. carretero1994estimation of the efficacy of conservation treatments applied to a permotriassicsandstone. in  la conservazione dei monumenti net bacino del mediterraneo,ed. v"
the 6th international congress on deterioration and conservation of stone was held in what year?,"l, and a. n. chowdhury1988experimental studies on conversion of gypsum to calcite by microbes.proceedings of the 6th international congress on deterioration and conservation of stone, 1988,  54550"
How is sulfated crust removed from marble?,"torun, poland: nicholas copernicus un iversity.gauri, k. l., l. parks, j. jaynes, and r. atlas1992removal of sulfated crust from marble using sulfate reducing bacteria"
how to remove sulfated crust from marble?,"jaynes, and r. atlas1992removal of sulfated crust from marble using sulfate reducing bacteria.in stone cleaning and the nature, soiling and decay mechanisms of stone,ed. r. g. m. webster, 16065"
"the nature, soiling and decay mechanisms of stone,ed. london: donhead","in stone cleaning and the nature, soiling and decay mechanisms of stone,ed. r. g. m. webster, 16065. london: donhead.references 51gauri, k. l, and s. s"
What was the subject of the 7th international congress on deterioration and conservation of stone?,"7th international congress on deterioration and conservation of stone,  9891000. lisbon: laboratório nacional deengenharia civil.griffin, p. s., n. indictor, and r. j"
"the review of deterioration mechanisms, conservation case histories, and treatment of stone is called what?","griffin, p. s., n. indictor, and r. j. koestler1991the biodeterioration of stone: a review of deterioration mechanisms, conservation case histories, and treatment"
what kind of protectives are used as stone protectives?,"international biodeterioration  28:187207.guidetti, v., m. chiavarini, and p. parrini1992polyfluoroethanes as stone protectives"
What was the name of the 7th international congress on deterioration and conservation of stone?,"guidetti, v., m. chiavarini, and p. parrini1992polyfluoroethanes as stone protectives.  7th international congress on deterioration and conservation of stone,  127988"
What was the subject of the 7th international congress on deterioration and conservation of stone?,"7th international congress on deterioration and conservation of stone,  127988. lisbon: laboratório n acional deengenharia civil.hammeker, c., r. m. e. alemany, and d"
who improved method for vacuum impregnation of stone?,"i com committee for conservation: 9th triennial meeting, dresden, 1990,55762. los angeles: icom committee for conservation.hempel, k.1976an improved method for the vacuum impregnation of stone"
the biological pack of stone was developed by who?,"hempel, k.1976an improved method for the vacuum impregnation of stone.  studies in conservation  21:4043.1978the biological pack"
What was the topic of the symposium on deterioration and protection of stone monuments?,"studies in conservation  21:4043.1978the biological pack. in  international symposium on deterioration andprotection of stone monuments:  international symposium, paris, 59 june1978, sec. 7.6"
What was the topic of the 7th international congress on deterioration and conservation of stone?,"m. a.1992water repellents for masonry surfaces: a comparative analysis of performancetests.  7th international congress on deterioration and conservation of stone,63140"
the 7th international congress on deterioration and conservation of stone was held in which year?,"7th international congress on deterioration and conservation of stone,63140. lisbon: laboratório nacional de engenharia civil.references 52hoffmarm, m., and h"
the injector jet process for cleaning of natural stone facades was invented in what year?,"lisbon: laboratório nacional de engenharia civil.references 52hoffmarm, m., and h. heuser1993the injector jet process for the cleaning of natural stone facades"
what is the name of the injector jet process for cleaning natural stone facades?,", and h. heuser1993the injector jet process for the cleaning of natural stone facades. in  conservation of stone and other materials,  ed. m.j. thiel, 52633.london: e & f n spon.honeyborne, d. b"
what is the full name of the person who designed the building and decorative stone?,"in  conservation of building and decorative stone,  vol. 1, ed. j. ashurst and f. g. dimes, 15378. london:butterworthheinemann.1990bsurface treatments"
"the conservation of building and decorative stone, vol. 2,ed. j. ashurst","in  conservation of building and decorative stone,  vol. 2,ed. j. ashurst and f. g. dimes, 15659. london: b utterworthheinemann.honeyborne, d. b., and p. b"
the structure of porous building stone and its relation to weathering behaviour was developed in what year,"j. ashurst and f. g. dimes, 15659. london: b utterworthheinemann.honeyborne, d. b., and p. b. harris1958the structure of porous building stone and its relation to weathering behaviour"
the structure of porous building stone and its relation to weathering behaviour was presented at the sym,"b. harris1958the structure of porous building stone and its relation to weathering behaviour.proceedings of the tenth symposium of the colston research society,  34359"
How many international congress ondeterioration and conservation of stone were there?,"hosek, j., and j. sramek1992arkoses and their highly hydrophobic treatment.  7th international congress ondeterioration and conservation of stone,  1197204"
What was the topic of the 7th international congress on deterioration and conservation of stone?,"kouzeli, k.1992black crust removal methods in use: their effects on pentelic marble surfaces.7th international congress on deterioration and conservation of stone,114756"
The 7th international congress on deterioration and conservation of stone was held in which city?,"7th international congress on deterioration and conservation of stone,114756. lisbon: laboratório nacional de engenharia civil.kozlowski, r., m. tokarz, and m"
How many members of the 7th international congress on deterioration and conservation of stone?,"7th international congress on deterioration and conservation of stone,  118796. lisbon: laboratório nacional deengenharia civil.krumbein, w. e., s. e. diakumaku, k. petersen, t. warscheid, and c"
the conservation of stone sculpture in museums is an example of what?,"ott, and f. zezza, 86165. venice: soprintendenza ai beniartistici e storici di venezia.larson, j.1990the conservation of stone sculpture in museums"
the conservation of stone sculpture in museums is an example of what?,"larson, j.1990the conservation of stone sculpture in museums. in  conservation of buildingand decorative stone,  vol. 2, ed. j. ashurst and f. g. dimes, 197207. london:butterworthheinemann"
What was the topic of the 7th international congress on deteriorationand conservation of stone?,"7th international congress on deteriorationand conservation of stone,  116775. lisbon: laboratório nacional deengenharia civil"
what mechanism of masonry decay through crystallization?,"studies in conservation34:2026.lewin, s. z.1982the mechanism of masonry decay through crystallization. in  conservation ofhistoric stone buildings and monuments,  12044. washington, d.c"
the current state of the art in the use of synthetic materials for stone conservation is known as,"in  conservation ofhistoric stone buildings and monuments,  12044. washington, d.c.: n ationalacademy press.1989the current state of the art in the use of synthetic materials for stone conservation"
the current state of the art in the use of synthetic materials for stone conservation is?,1989the current state of the art in the use of synthetic materials for stone conservation. inorganic and metalorganic compounds. ed. l. lazzarini and r. pieper
the susceptibility of calcareous stones to salt decay is an example of what?,studies and documents onthe cultural heritage. paris: unesco.1990the susceptibility of calcareous stones to salt decay.la conservazione del monumenti nel bacino del mediterraneo
what treatment of decayed stone was developed in italy?,"brescia, italy: grafo.lewin, s. z., and n. s. baer1974rationale of the barium hydroxideurea treatment of decayed stone.  studies inconservation  19:2435.lewis, j. o"
who developed polymers for the consolidation of natural stone?,"atmospheric environment  23:41529.littmann, k., h. r. sasse, s. wagener, and h. mocker1993development of polymers for the consolidation of natural stone"
who developed polymers for the consolidation of natural stone?,"sasse, s. wagener, and h. mocker1993development of polymers for the consolidation of natural stone. in  conservationof stone and other materials,  ed. m.j. thiel, 68188. london: e & f n spon"
where is the 55livingston stone museum located?,"in  conservationof stone and other materials,  ed. m.j. thiel, 68188. london: e & f n spon.references 55livingston, r. a"
the study of the effects of acid rain and sulfur dioxide on carbonate stones was published in,"m.j. thiel, 68188. london: e & f n spon.references 55livingston, r. a.1992agraphical methods for examining the effects of acid rain and sulfur dioxide oncarbonate stones"
Which methods were used to examine the effects of acid rain and sulfur dioxide on carbonate stones,"1992agraphical methods for examining the effects of acid rain and sulfur dioxide oncarbonate stones.  7th international congress on deterioration and conservationof stone,  37586"
How many years did the 7th international congress on deterioration and conservationof stone take place?,"7th international congress on deterioration and conservationof stone,  37586. lisbon: laboratorio nacional de engenharia civil.1992bgeochemical considerations in the cl eaning of carbonate stone"
What considerations were included in the cl eaning of carbonate stone?,"1992bgeochemical considerations in the cl eaning of carbonate stone. in  stonecleaning and the nature, soiling and decay mechanisms of stone,ed. r. g. m. webster, 16679. london: donhead"
What type of cleaning of sandstone was done in 1991?,"zezza, 1017. venice: soprintendenza ai beni artistici e storicidi venezia.macdonald, j., b. thomson, and k. tonge1992chemical cleaning of sandstone: comparative laboratory studies"
who developed the 1991bmethods for assessing the deterioration of stone monuments?,"1991bmethods for assessing the deterioration of stone monuments. in  science, technology and european cultural heritage,  ed. n. s. baer, c. sabbioni, anda. i. sors, 9099"
What is the name of the person who acleaning with laser radiation on istria stone,"zendri, r. polloni, and w. cecchetti1992 acleaning with laser radiation on istria stone. in  materials issues in art andarchaeology 3,  ed. p. b. vandiver, j. r. druzik, g. s. wheeler, andi. c"
What was the topic of the seventh international congress on deterioration and conservation of stone?,"1992binvestigation on surface alteration of limestone related to cleaning processes.7th international congress on deterioration and conservation of stone,1093102"
What was the topic of the 7th international congress on deterioration and conservation of stone?,"7th international congress on deterioration and conservation of stone,1093102. lisbon: laboratório nacional de engenharia civil.massa, s., s. naldini, and a"
What is the name of the system of classification of the decay of stone monuments?,"lisbon: laboratório nacional de engenharia civil.massa, s., s. naldini, and a. rorro1991a system of classification of the decay of stone monuments"
What is the name of the system of classification of the decay of stone monuments?,"massa, s., s. naldini, and a. rorro1991a system of classification of the decay of stone monuments. in  science, technology and european cultural heritage,  ed. n. s. baer, c. sabbioni, anda. i"
What is the name of the person who cleaned and thenature the stone?,"maxwell, i.1992stonecleaning—for better or worse? an overview. in stone  cleaning and thenature, soiling and decay mechanisms of stone,  ed. r. g. m. webster, 349.london: donhead.may, e., and f. j"
What is the full name of the person who developed a technique to study decayingstonework?,"r. g. m. webster, 349.london: donhead.may, e., and f. j. lewis1988strategies and techniques for the study of bacterial populations on decayingstonework"
What was the topic of the 6th international congress on deterioration and conservation ofstone?,"6th international congress on deterioration and conservation ofstone,  5970. torun, poland: nicholas copernicus university.mcmahon, d. j., p. sandberg, k. folliard, and p. k"
What measurements were made on stone surfaces with videoholography?,"lisbon: laboratório nacionalde engenharia civil.meinlschmidt, p., g. gülker, k. hinsch and c. hölscher1991nondestructive microdeformation measurements on stone surfaces with videoholography"
What was the topic of the 7th international congress on deterioration and conservation ofstone?,"hölscher1991nondestructive microdeformation measurements on stone surfaces with videoholography.  7th international congress on deterioration and conservation ofstone,  93746"
What was the topic of the 7th international congress on deterioration and conservation ofstone?,"7th international congress on deterioration and conservation ofstone,  93746. lisbon: laboratório nacional de engenharia civil.meng, b"
what is the new method of impregnation of stone historical objects?,"in  studies in conservation  39:12131.mirowski, r.1988a new method of impregnation of stone historical objects.  6th internationalcongress on deterioration and conservation of stone,  63340"
who is the conservation of stone and othermaterials?,"in  conservation of stone and othermaterials,  ed. m.j. thiel, 54249. london: e & f n spon.ortegacalvo, j. j., x. ariño, and c"
the development of perfluorinated protective agents for stone is an example of what?,"references 58piacenti, f.r m. camaiti, t. brocchi, and a. scala1993new developments in perfluorinated protective agents for stone. in  conservation of stone and other materials,  ed. m.j"
How many materials are included in the conservation of stone and other materials?,"in  conservation of stone and other materials,  ed. m.j. thiel, 73339. london:e & f n spon.piacenti, f.f m. camaiti, c. manganelli del fà, and a"
What is the full name of the person who conserves stone and othermaterials?,"m.j. thiel, 73339. london:e & f n spon.piacenti, f.f m. camaiti, c. manganelli del fà, and a. scala1993fluorinated aggregating materials for stone. in  conservation of stone and othermaterials,  ed"
the 5th internationalcongress on deterioration and conservation of stone is titled what?,"5th internationalcongress on deterioration and conservation of stone,  ed. g. félix, 24150.lausanne: presses polytechniques r omandes.references 59rautureau, m.r g. pierre, and p"
what effect did acid rain have on carbonatestone?,"ott, and f. zezza, 6568. venice: soprintendenza ai beni artistici estorici di venezia.reddy, m.1990acid rain and air pollution effects on carbonatestone: dissolutionrunoffexperiments"
what kind of pollution effects carbonatestone?,"reddy, m.1990acid rain and air pollution effects on carbonatestone: dissolutionrunoffexperiments. in  la conservazione dei monumenti nel bacino del mediterraneo"
the symphony on deterioration and protection of stone monuments was held in which year?,"proceedings of the internationalsymposium on deterioration and protection of stone monuments,  vol. 5.paris: rilem, unesco.robertson, e. c.1982physical properties of building stone"
the disruptive or cementing effect of salt crystallization invarious types of stone is known as,"london: internationalinstitute for conservation.rossimanaresi, r.r and a. tucci1991pore structure and the disruptive or cementing effect of salt crystallization invarious types of stone"
What is the name of the book that includes new technology in porous stone conservation?,"sasse, h. r., d. honsinger, and b. schwamborn1993""pins:"" new technology in porous stone conservation. in  conservation of stoneand other materials,  ed. m.j. thiel, 70516. london: e & f n spon"
the conservation of stone and other materials is part of what book?,"in  conservation of stoneand other materials,  ed. m.j. thiel, 70516. london: e & f n spon.references 60sasse, h. r., and b"
the weathering of natural building stones was published in what year?,"m.j. thiel, 8017.london: e & f n spon.schaffer, r.j.1972 [1932]the weathering of natural building stones.  london: his maj esty's stationeryoffice, 1932. reprint"
What was the last international congress on deterioration and conservation of stone?,"london: donhead.schnabel, l.1992evaluation of the barium hydroxide—urea consolidation method.  7th international congress on deterioration and conservation of stone,  106372"
What was the topic of the 7th international congress on deterioration and conservation of stone?,"7th international congress on deterioration and conservation of stone,  106372. lisbon:laboratório nacional de engenharia civil.schoonbrood, j. w. m"
when was the low pressure application technique for stone pr eservative invented?,"lisbon:laboratório nacional de engenharia civil.schoonbrood, j. w. m.1993low pressure application technique for stone pr eservatives. in  conservation ofstone and other materials,  ed. m.j"
the use of epoxy resins for stone conservation is an example of what?,"in  conservation ofstone and other materials,  ed. m.j. thiel, 51218. london: e & f n spon.selwitz, c. m.1991the use of epoxy resins for stone conservation"
"In 1992, the use of epoxy resins in field projects for stone stabilization was used","1992athe use of epoxy resins in field projects for stone stabilization. in  materialsissues in art and archaeology 2,  ed. p. b. vandiver, j. r. druzik, andg. s. wheeler, 92534"
the marble columns in the cloister of the primatial church st. trophimes in,"blanc, and r. snethlage1994the marble columns in the cloister of the primatial church st. trophimes inaries, france: u ltrasonic velocity measurements as a tool for anamnesis anddiagnosis"
the acrylictotalimpreganation process was used to preserve crystalline marble with,"1991conservation of crystalline marble with the acrylictotalimpreganation process.in science, technology and european cultural heritage,  ed. n. s. baer,c. sabbioni, and a. i. sors, 7003"
who is involved in the removal of stone historical objects by means of membrane electrodialysis,"skibinski, s.1985salt removal from stone historical objects by means of membrane electrodialysis.5th international congress on deterioration and conservation of stone,ed. g. felix, 95965"
who is the president of the 5th international congress on deterioration and conservation of stone?,"5th international congress on deterioration and conservation of stone,ed. g. felix, 95965. lausanne: presses polytechniques romandes.skoulikidis, t"
the treatment of marbles and stones based on the mechanisms of decays is called what?,"g. felix, 95965. lausanne: presses polytechniques romandes.skoulikidis, t.1993protective treatment for marbles and stones based on the mechanisms of decays"
What is the name of the t.1993protective treatment for marbles and stones based,"skoulikidis, t.1993protective treatment for marbles and stones based on the mechanisms of decays.in stone material in monuments: diagnosis and conservation,  13954"
What is the full name of the person who was involved in the 1986inversion of marble,"skoulikidis, t. n., and n. beloyannis1984inversion of marble sulfation: reconversion of gypsum films into calcite on thesurfaces of monuments and statues.  studies in conservation  29:197204"
what kind of coatings were used for marbles and stones?,"studies in conservation  29:197204.skoulikidis, t., and e. kritikou1992protective coatings for marbles and stones using polymers pigmented withdoped nsemiconductors"
the 7th international congress on deteriorationand conservation of stone was held in lisbon in,"7th international congress on deteriorationand conservation of stone,  113745. lisbon: laboratório nacional deengenharia civil.sleater, g. a"
What is the name of the new protective agents for natural stone?,", and e. wendler1991surfactants and adherent silicon resins: new protective agents for natural stone.in materials issues in art and archaeology 2,  ed. p. b. vandiver, j. r. druzik, andg. s"
"the simulation of rock weathering by salt crystallization and hydration processes in hot, ar","oxford: butterworthheinemann.references 62sperling, c. h. b., and r. u. cooke1985laboratory simulation of rock weathering by salt crystallization and hydration processes in hot, arid environments"
the objective assessment of stone conservation using krypton85 labelling is an example of what,"earth surface processes andlandforms  10:54155.sramek, j.1991an objective assessment of stone conservation using krypton85 labelling.in science, technology and european cultural heritage,  ed. n"
is al cardo.strzelczyk a b.b.1981stone?,"graziano, 16974.venice: il cardo.strzelczyk, a. b.1981stone.  microbial biodeterioration.  vol. 6 of economic microbiology,ed. a. h. rose, 6180. london: academic press.tayior, j. m., i. n. m"
How many years after the 7th international congress on deteriorationand conservation of stone was lis,"feasibility study.  7th international congress on deteriorationand conservation of stone,  131726. lisbon: labo ratório nacional deengenharia civil.torraca, g"
What methods were used to quantify the degradation of building stones?,"earthsurface processes and landforms  14:17596.valdeón, l., m. s. king, and m. h. de freitas1992ultrasonic methods for quantifying the degradation of building stones"
How many years after the 7th international congress on deterioration and conservation of stone did de fre,"king, and m. h. de freitas1992ultrasonic methods for quantifying the degradation of building stones.  7th international congress on deterioration and conservation of stone,  697704"
the conservation of stone and other materials is a part of what?,"in  conservation of stone and other materials,ed. m.j. thiel, 99 106. london: e & f n spon.verdel, t., and c"
the behaviour of water re pellent treatments for stone is an example of what?,"m.j. thiel,53441. london: e & f n spon.villegas, r., andj. f . vale1992evaluation of the behaviour of water re pellent treatments for stone"
What was the topic of the 7th international congress on deterioration and conservation of stone?,"villegas, r., andj. f . vale1992evaluation of the behaviour of water re pellent treatments for stone.  7th international congress on deterioration and conservation of stone,  125362"
What is the name of the 7th international congress on deterioration and conservation of stone?,"7th international congress on deterioration and conservation of stone,  125362. lisbon:laboratorio nacional de engenharia civil.villegas, r., j. f. vale, and m. a"
Who published the 1992 research on the effects of air pollution on limestone degradation in great brit,"canadian conservationinstitute newsletter  6:69.webb, a. h., r. j. bawden, a. k. busby and j. n. hopkins1992studies on the effects of air pollution on limestone degradation in great britain"
what did hopkins 1992studies on the effects of air pollution on limestone degradation in great,"n. hopkins1992studies on the effects of air pollution on limestone degradation in great britain.atmospheric environment  266:16581.references 64weber, j"
What was the subject of the 7th international congress on deterioration and conservation of stone?,"7th international congress on deterioration and conservation of stone,  103341. lisbon: laboratório nacional de engenharia civil.wheeler, g. s., g. l. shearer, s. fleming, l. w. kelts, a"
What type of rock burst by hydration pressures in architectural stone?,"geological society ofamerica bulletin  83:350914.winkler, e. m., and e. j. wilhelm1970salt burst by hydration pressures in architectural stone in an urban atmosphere"
who burst by hydration pressures in architectural stone in an urban atmosphere?,"j. wilhelm1970salt burst by hydration pressures in architectural stone in an urban atmosphere.geological society of america bulletin  81 : 567572.young, m. e"
the use of colourmeasurement in stonecleaning trials?,"geological society of america bulletin  81 : 567572.young, m. e.1993stonecleaning of granite buildings and monuments: the use of colourmeasurement in stonecleaning trials"
the review of sandstone buildings and monuments was published in what year?,"k.,ed. n. h. tennent, 2028. london: james and james.references 65young, m. e., and d. urquhart1992abrasive cleaning of sandstone buildings and monuments: an experimentalinvestigation"
the experimental investigation of sandstone buildings and monuments is called what?,"urquhart1992abrasive cleaning of sandstone buildings and monuments: an experimentalinvestigation. in  stone cleaning and the nature, soiling and decay mechanismsof stone,  ed. r. g. m"
what is the purpose of porous stones?,"in  stone cleaning and the nature, soiling and decay mechanismsof stone,  ed. r. g. m. webster, 12840. london: donhead.zádor, m.1992consolidation of porous stones by weather resistant agents"
what is the name of the 7th internationalcongress on deterioration and conservation of stone?,"7th internationalcongress on deterioration and conservation of stone,  128998. lisbon: laboratório nacional de engenharia civil.zehnder, k"
What is the name of the person who computerized analysis of stone decay in m onuments,"zezza, f.1990computerized analysis of stone decay in m onuments. in  la conservazione deimonumenti nel bacino del mediterraneo.  proceedings of the 1st internationalsymposium, bari, 1989, 16384"
How do you diagnose and controlstone decay?,"1994stone decay diagnosis and control of treatments by computerized analyticaltechniques. in  la conservazione dei monumenti nel bacino del mediterraneo,ed. v. fassina, h. ott, and f. zezza, 7781"
